Date,Time,Open,High,Low,Close,Renko_Open,Renko_Close,Volume
8/11/2024,18:00:05,18590,18596.75,18586.75,18588.5,18595,18590,114
8/11/2024,18:00:10,18587.75,18592.25,18580.75,18592.25,18595,18590,53
8/11/2024,18:00:15,18593,18595.5,18591,18595.5,18595,18590,26
8/11/2024,18:00:20,18595.75,18598,18594.25,18596.25,18595,18590,25
8/11/2024,18:00:25,18596,18612.75,18595.25,18608.75,18600,18605,108
8/11/2024,18:00:30,18609,18612.75,18607,18608,18600,18605,50
8/11/2024,18:00:35,18608.25,18609,18594,18601.25,18600,18605,43
8/11/2024,18:00:40,18601.25,18608,18601,18603.5,18600,18605,30
8/11/2024,18:00:45,18603.25,18608,18603.25,18608,18600,18605,15
8/11/2024,18:00:50,18606.75,18612.75,18606.75,18612.75,18605,18610,53
8/11/2024,18:00:55,18612.75,18624.75,18611.75,18624.75,18615,18620,69
8/11/2024,18:01:00,18623.75,18645,18623.5,18632.25,18625,18630,139
8/11/2024,18:01:05,18633,18638.25,18629.25,18630.75,18625,18630,69
8/11/2024,18:01:10,18632.5,18638,18630.25,18633.5,18625,18630,28
8/11/2024,18:01:15,18633.75,18637.25,18632.5,18634.5,18625,18630,29
8/11/2024,18:01:20,18635.25,18635.25,18632.5,18634.5,18625,18630,24
8/11/2024,18:01:25,18632.25,18638.75,18629.5,18638.75,18630,18635,50
8/11/2024,18:01:30,18637.5,18640,18634.75,18640,18635,18640,39
8/11/2024,18:01:35,18636.25,18642.25,18636.25,18638.5,18635,18640,35
8/11/2024,18:01:40,18637.5,18644.25,18637.5,18644.25,18635,18640,16
8/11/2024,18:01:45,18640.75,18643.25,18640.5,18641.25,18635,18640,22
8/11/2024,18:01:50,18643.25,18644.5,18625.5,18630.25,18635,18640,56
8/11/2024,18:01:55,18631,18639.75,18631,18637.25,18635,18640,33
8/11/2024,18:02:00,18637,18642.25,18637,18640,18635,18640,16
8/11/2024,18:02:05,18637.25,18640.5,18635.25,18640.5,18635,18640,15
8/11/2024,18:02:10,18640,18641.5,18636.75,18641.5,18635,18640,27
8/11/2024,18:02:15,18641.75,18643,18639.75,18640.5,18635,18640,18
8/11/2024,18:02:20,18641.75,18643,18641,18641.75,18635,18640,19
8/11/2024,18:02:25,18641,18642.25,18640,18640,18635,18640,9
8/11/2024,18:02:30,18639.25,18640.25,18638.25,18638.25,18635,18640,24
8/11/2024,18:02:35,18638,18638,18637.25,18637.25,18635,18640,10
8/11/2024,18:02:40,18637.25,18643.75,18634.75,18638.75,18635,18640,37
8/11/2024,18:02:45,18635.5,18635.5,18631.5,18631.5,18635,18640,16
8/11/2024,18:02:50,18631.5,18635,18631.5,18635,18635,18640,5
8/11/2024,18:02:55,18631.5,18632.5,18631,18631,18635,18640,37
8/11/2024,18:03:00,18630.5,18630.5,18628.25,18628.25,18635,18630,13
8/11/2024,18:03:05,18630.25,18630.25,18625.25,18627,18635,18630,14
8/11/2024,18:03:10,18627,18631.5,18627,18630.75,18635,18630,11
8/11/2024,18:03:15,18631.25,18633.5,18631.25,18632,18635,18630,8
8/11/2024,18:03:20,18632.25,18632.25,18627.75,18628,18635,18630,13
8/11/2024,18:03:25,18627.75,18628.75,18627,18627.25,18635,18630,11
8/11/2024,18:03:30,18627.25,18627.5,18620,18625,18630,18625,28
8/11/2024,18:03:35,18624.75,18627,18624.5,18627,18630,18625,12
8/11/2024,18:03:40,18626.5,18627.25,18624.75,18625,18630,18625,17
8/11/2024,18:03:45,18626,18629.5,18626,18629.5,18630,18625,12
8/11/2024,18:03:50,18627.25,18627.25,18625.25,18625.25,18630,18625,6
8/11/2024,18:03:55,18625.25,18630,18625.25,18630,18630,18625,7
8/11/2024,18:04:00,18631,18632,18628,18629.5,18630,18625,7
8/11/2024,18:04:05,18630.5,18644.75,18630.5,18638.25,18630,18635,106
8/11/2024,18:04:10,18641.25,18642.5,18637,18642.5,18635,18640,17
8/11/2024,18:04:15,18640.75,18645,18640.75,18645,18640,18645,15
8/11/2024,18:04:20,18645,18650.5,18643.75,18650.5,18645,18650,49
8/11/2024,18:04:25,18648.75,18650.5,18643,18643,18645,18650,43
8/11/2024,18:04:30,18643.75,18647.75,18643,18646.75,18645,18650,26
8/11/2024,18:04:35,18647,18652.5,18646.5,18649,18645,18650,15
