"Date","Time","Open","High","Low","Close","Up","Down","Renko SMA","Volume"
08/11/2024,18:00:05,18590.00,18596.75,18586.75,18588.50,39,75,18590.00,114.00
08/11/2024,18:00:10,18587.75,18592.25,18580.75,18592.25,28,25,18590.00,53.00
08/11/2024,18:00:15,18593.00,18595.50,18591.00,18595.50,15,11,18590.00,26.00
08/11/2024,18:00:20,18595.75,18598.00,18594.25,18596.25,15,10,18590.00,25.00
08/11/2024,18:00:25,18596.00,18612.75,18595.25,18608.75,70,38,18605.00,108.00
08/11/2024,18:00:30,18609.00,18612.75,18607.00,18608.00,31,19,18605.00,50.00
08/11/2024,18:00:35,18608.25,18609.00,18594.00,18601.25,17,26,18605.00,43.00
08/11/2024,18:00:40,18601.25,18608.00,18601.00,18603.50,13,17,18605.00,30.00
08/11/2024,18:00:45,18603.25,18608.00,18603.25,18608.00,12,3,18605.00,15.00
08/11/2024,18:00:50,18606.75,18612.75,18606.75,18612.75,40,13,18610.00,53.00
08/11/2024,18:00:55,18612.75,18624.75,18611.75,18624.75,40,29,18620.00,69.00
08/11/2024,18:01:00,18623.75,18645.00,18623.50,18632.25,79,60,18630.00,139.00
08/11/2024,18:01:05,18633.00,18638.25,18629.25,18630.75,24,45,18630.00,69.00
08/11/2024,18:01:10,18632.50,18638.00,18630.25,18633.50,19,9,18630.00,28.00
08/11/2024,18:01:15,18633.75,18637.25,18632.50,18634.50,14,15,18630.00,29.00
08/11/2024,18:01:20,18635.25,18635.25,18632.50,18634.50,7,17,18630.00,24.00
08/11/2024,18:01:25,18632.25,18638.75,18629.50,18638.75,25,25,18635.00,50.00
08/11/2024,18:01:30,18637.50,18640.00,18634.75,18640.00,28,11,18640.00,39.00
08/11/2024,18:01:35,18636.25,18642.25,18636.25,18638.50,22,13,18640.00,35.00
08/11/2024,18:01:40,18637.50,18644.25,18637.50,18644.25,11,5,18640.00,16.00
08/11/2024,18:01:45,18640.75,18643.25,18640.50,18641.25,7,15,18640.00,22.00
08/11/2024,18:01:50,18643.25,18644.50,18625.50,18630.25,19,37,18640.00,56.00
08/11/2024,18:01:55,18631.00,18639.75,18631.00,18637.25,25,8,18640.00,33.00
08/11/2024,18:02:00,18637.00,18642.25,18637.00,18640.00,11,5,18640.00,16.00
08/11/2024,18:02:05,18637.25,18640.50,18635.25,18640.50,9,6,18640.00,15.00
08/11/2024,18:02:10,18640.00,18641.50,18636.75,18641.50,18,9,18640.00,27.00
08/11/2024,18:02:15,18641.75,18643.00,18639.75,18640.50,9,9,18640.00,18.00
08/11/2024,18:02:20,18641.75,18643.00,18641.00,18641.75,10,9,18640.00,19.00
08/11/2024,18:02:25,18641.00,18642.25,18640.00,18640.00,1,8,18640.00,9.00
08/11/2024,18:02:30,18639.25,18640.25,18638.25,18638.25,11,13,18640.00,24.00
08/11/2024,18:02:35,18638.00,18638.00,18637.25,18637.25,0,10,18640.00,10.00
08/11/2024,18:02:40,18637.25,18643.75,18634.75,18638.75,28,9,18640.00,37.00
08/11/2024,18:02:45,18635.50,18635.50,18631.50,18631.50,0,16,18640.00,16.00
08/11/2024,18:02:50,18631.50,18635.00,18631.50,18635.00,4,1,18640.00,5.00
08/11/2024,18:02:55,18631.50,18632.50,18631.00,18631.00,6,31,18640.00,37.00
08/11/2024,18:03:00,18630.50,18630.50,18628.25,18628.25,2,11,18630.00,13.00
08/11/2024,18:03:05,18630.25,18630.25,18625.25,18627.00,6,8,18630.00,14.00
