Time_Start,Time_End,Renko_Open,Renko_Close,Volume,Moving_Average,Median
04/01/2024 00:46:30,04/01/2024 02:49:00,18840,18850,5274,0,0
04/01/2024 02:49:30,04/01/2024 03:17:00,18840,18830,2073,0,0
04/01/2024 03:17:30,04/01/2024 03:34:00,18840,18850,2091,0,0
04/01/2024 03:34:30,04/01/2024 04:05:00,18850,18860,2571,0,0
04/01/2024 04:05:30,04/01/2024 04:08:30,18850,18840,749,18846,18850
04/01/2024 04:09:00,04/01/2024 04:10:00,18840,18830,438,18842,18840
04/01/2024 04:10:30,04/01/2024 04:39:30,18830,18820,3362,18840,18840
04/01/2024 04:40:00,04/01/2024 07:06:00,18830,18840,9015,18838,18840
04/01/2024 07:06:30,04/01/2024 07:19:30,18830,18820,1646,18830,18830
04/01/2024 07:20:00,04/01/2024 07:25:00,18820,18810,1579,18824,18820
04/01/2024 07:25:30,04/01/2024 07:31:30,18810,18800,1652,18818,18820
04/01/2024 07:32:00,04/01/2024 08:06:30,18800,18790,4367,18812,18810
04/01/2024 08:07:00,04/01/2024 08:07:00,18790,18780,494,18800,18800
04/01/2024 08:07:30,04/01/2024 08:20:30,18780,18770,5089,18790,18790
04/01/2024 08:21:00,04/01/2024 08:50:00,18770,18760,7931,18780,18780
04/01/2024 08:50:30,04/01/2024 09:13:00,18770,18780,4721,18776,18780
04/01/2024 09:13:30,04/01/2024 09:15:30,18770,18760,1363,18770,18770
04/01/2024 09:16:00,04/01/2024 09:16:30,18760,18750,1909,18764,18760
04/01/2024 09:17:00,04/01/2024 09:29:00,18750,18740,6448,18758,18760
04/01/2024 09:29:30,04/01/2024 09:32:30,18750,18760,10340,18758,18760
04/01/2024 09:33:00,04/01/2024 09:33:00,18760,18770,2029,18756,18760
04/01/2024 09:33:30,04/01/2024 09:34:30,18780,18790,6654,18762,18760
04/01/2024 09:35:00,04/01/2024 09:35:00,18800,18810,2262,18774,18770
04/01/2024 09:35:30,04/01/2024 09:36:00,18810,18820,5725,18790,18790
04/01/2024 09:36:30,04/01/2024 09:38:00,18820,18830,7136,18804,18810
04/01/2024 09:38:30,04/01/2024 09:39:00,18830,18840,3926,18818,18820
04/01/2024 09:39:30,04/01/2024 09:40:00,18840,18850,3055,18830,18830
04/01/2024 09:40:30,04/01/2024 10:02:30,18850,18860,47901,18840,18840
04/01/2024 10:03:00,04/01/2024 10:03:00,18850,18840,1613,18844,18840
04/01/2024 10:03:30,04/01/2024 10:04:00,18840,18830,3907,18844,18840
04/01/2024 10:04:30,04/01/2024 10:08:30,18830,18820,12104,18840,18840
04/01/2024 10:09:00,04/01/2024 10:18:00,18830,18840,12906,18838,18840
04/01/2024 10:18:30,04/01/2024 10:18:30,18830,18820,1545,18830,18830
04/01/2024 10:19:00,04/01/2024 10:19:00,18810,18800,2612,18822,18820
04/01/2024 10:19:30,04/01/2024 10:20:00,18800,18790,4839,18814,18820
04/01/2024 10:20:30,04/01/2024 10:24:00,18790,18780,11715,18806,18800
04/01/2024 10:24:30,04/01/2024 10:35:00,18790,18800,14515,18798,18800
04/01/2024 10:35:30,04/01/2024 10:38:30,18790,18780,3936,18790,18790
04/01/2024 10:39:00,04/01/2024 10:39:00,18780,18770,1649,18784,18780
04/01/2024 10:39:30,04/01/2024 10:51:30,18760,18750,22621,18776,18780
04/01/2024 10:52:00,04/01/2024 11:06:00,18750,18740,21736,18768,18770
04/01/2024 11:06:30,04/01/2024 11:10:00,18740,18730,5032,18754,18750
04/01/2024 11:10:30,04/01/2024 11:15:30,18730,18720,7782,18742,18740
04/01/2024 11:16:00,04/01/2024 11:16:00,18720,18710,1286,18730,18730
04/01/2024 11:16:30,04/01/2024 11:21:00,18710,18700,8212,18720,18720
04/01/2024 11:21:30,04/01/2024 11:23:30,18700,18690,3454,18710,18710
04/01/2024 11:24:00,04/01/2024 11:27:00,18700,18710,5355,18706,18710
04/01/2024 11:27:30,04/01/2024 11:29:30,18710,18720,2690,18706,18710
04/01/2024 11:30:00,04/01/2024 11:51:30,18720,18730,20932,18710,18710
04/01/2024 11:52:00,04/01/2024 11:53:30,18720,18710,2471,18712,18710
04/01/2024 11:54:00,04/01/2024 11:54:00,18710,18700,881,18714,18710
04/01/2024 11:54:30,04/01/2024 12:00:00,18700,18690,8067,18710,18710
04/01/2024 12:00:30,04/01/2024 12:04:00,18690,18680,6094,18702,18700
04/01/2024 12:04:30,04/01/2024 12:04:30,18690,18700,570,18696,18700
04/01/2024 12:05:00,04/01/2024 12:07:00,18700,18710,2906,18696,18700
04/01/2024 12:07:30,04/01/2024 12:08:30,18710,18720,1487,18700,18700
04/01/2024 12:09:00,04/01/2024 12:30:00,18720,18730,17011,18708,18710
04/01/2024 12:30:30,04/01/2024 12:45:00,18730,18740,9114,18720,18720
04/01/2024 12:45:30,04/01/2024 12:59:00,18740,18750,7966,18730,18730
04/01/2024 12:59:30,04/01/2024 13:07:00,18740,18730,4997,18734,18730
04/01/2024 13:07:30,04/01/2024 13:19:30,18730,18720,7439,18734,18730
04/01/2024 13:20:00,04/01/2024 13:21:00,18720,18710,1833,18730,18730
04/01/2024 13:21:30,04/01/2024 13:24:30,18710,18700,2575,18722,18720
04/01/2024 13:25:00,04/01/2024 13:29:30,18700,18690,5038,18710,18710
04/01/2024 13:30:00,04/01/2024 13:44:00,18700,18710,7174,18706,18710
04/01/2024 13:44:30,04/01/2024 14:22:00,18710,18720,19125,18706,18710
04/01/2024 14:22:30,04/01/2024 14:53:00,18720,18730,15125,18710,18710
04/01/2024 14:53:30,04/01/2024 15:00:00,18730,18740,4200,18718,18720
04/01/2024 15:00:30,04/01/2024 15:05:30,18730,18720,3924,18724,18720
04/01/2024 15:06:00,04/01/2024 15:54:30,18730,18740,36211,18730,18730
04/01/2024 15:55:00,04/01/2024 15:55:00,18740,18750,2538,18736,18740
04/01/2024 15:55:30,04/01/2024 18:25:30,18750,18760,38855,18742,18740
04/01/2024 18:26:00,04/01/2024 19:37:30,18750,18740,3159,18742,18740
04/01/2024 19:38:00,04/01/2024 20:08:30,18740,18730,2560,18744,18740
04/01/2024 20:09:00,04/01/2024 22:33:30,18730,18720,7223,18740,18740
04/01/2024 22:34:00,04/02/2024 01:19:00,18730,18740,6037,18738,18740
04/02/2024 01:19:30,04/02/2024 02:21:00,18730,18720,3571,18730,18730
04/02/2024 02:21:30,04/02/2024 02:47:00,18730,18740,2478,18730,18730
04/02/2024 02:47:30,04/02/2024 03:24:00,18740,18750,5747,18734,18740
04/02/2024 03:24:30,04/02/2024 03:26:00,18740,18730,595,18736,18740
04/02/2024 03:26:30,04/02/2024 03:27:30,18730,18720,748,18732,18730
04/02/2024 03:28:00,04/02/2024 03:39:00,18720,18710,2429,18730,18730
04/02/2024 03:39:30,04/02/2024 04:01:30,18720,18730,3957,18728,18730
04/02/2024 04:02:00,04/02/2024 04:02:30,18730,18740,497,18726,18730
04/02/2024 04:03:00,04/02/2024 04:03:00,18740,18750,266,18730,18730
04/02/2024 04:03:30,04/02/2024 04:45:00,18750,18760,8849,18738,18740
04/02/2024 04:45:30,04/02/2024 04:50:30,18750,18740,906,18744,18740
04/02/2024 04:51:00,04/02/2024 05:59:30,18740,18730,8031,18744,18740
04/02/2024 06:00:00,04/02/2024 06:00:30,18730,18720,489,18740,18740
04/02/2024 06:01:00,04/02/2024 06:39:00,18720,18710,5954,18732,18730
04/02/2024 06:39:30,04/02/2024 06:39:30,18710,18700,710,18720,18720
04/02/2024 06:40:00,04/02/2024 07:21:00,18700,18690,7556,18710,18710
04/02/2024 07:21:30,04/02/2024 07:23:00,18690,18680,987,18700,18700
04/02/2024 07:23:30,04/02/2024 08:14:30,18680,18670,12210,18690,18690
04/02/2024 08:15:00,04/02/2024 08:36:30,18670,18660,6233,18680,18680
04/02/2024 08:37:00,04/02/2024 08:39:30,18660,18650,1733,18670,18670
04/02/2024 08:40:00,04/02/2024 08:41:00,18650,18640,1367,18660,18660
04/02/2024 08:41:30,04/02/2024 08:42:00,18640,18630,859,18650,18650
04/02/2024 08:42:30,04/02/2024 08:44:00,18630,18620,2413,18640,18640
04/02/2024 08:44:30,04/02/2024 08:48:00,18620,18610,3681,18630,18630
04/02/2024 08:48:30,04/02/2024 08:57:00,18610,18600,6040,18620,18620
04/02/2024 08:57:30,04/02/2024 09:03:00,18600,18590,7065,18610,18610
04/02/2024 09:03:30,04/02/2024 09:08:00,18590,18580,5646,18600,18600
04/02/2024 09:08:30,04/02/2024 09:11:30,18580,18570,3530,18590,18590
04/02/2024 09:12:00,04/02/2024 09:14:00,18570,18560,2852,18580,18580
04/02/2024 09:14:30,04/02/2024 09:19:00,18560,18550,4630,18570,18570
04/02/2024 09:19:30,04/02/2024 09:25:00,18550,18540,5826,18560,18560
04/02/2024 09:25:30,04/02/2024 09:39:00,18540,18530,45047,18550,18550
04/02/2024 09:39:30,04/02/2024 09:40:00,18520,18510,4414,18538,18540
04/02/2024 09:40:30,04/02/2024 09:59:30,18500,18490,45156,18524,18530
04/02/2024 10:00:00,04/02/2024 10:02:30,18500,18510,10953,18516,18510
04/02/2024 10:03:00,04/02/2024 10:04:30,18510,18520,6076,18512,18510
04/02/2024 10:05:00,04/02/2024 10:06:30,18520,18530,4159,18512,18510
04/02/2024 10:07:00,04/02/2024 10:10:00,18520,18510,5375,18512,18510
04/02/2024 10:10:30,04/02/2024 10:10:30,18510,18500,678,18514,18510
04/02/2024 10:11:00,04/02/2024 10:12:00,18500,18490,4214,18510,18510
04/02/2024 10:12:30,04/02/2024 10:18:00,18490,18480,11787,18502,18500
04/02/2024 10:18:30,04/02/2024 10:23:00,18480,18470,10138,18490,18490
04/02/2024 10:23:30,04/02/2024 10:23:30,18480,18490,1013,18486,18490
04/02/2024 10:24:00,04/02/2024 10:25:00,18490,18500,3045,18486,18490
04/02/2024 10:25:30,04/02/2024 10:34:00,18500,18510,13323,18490,18490
04/02/2024 10:34:30,04/02/2024 10:56:00,18500,18490,27112,18492,18490
04/02/2024 10:56:30,04/02/2024 11:10:00,18490,18480,17719,18494,18490
04/02/2024 11:10:30,04/02/2024 11:11:30,18490,18500,2576,18496,18500
04/02/2024 11:12:00,04/02/2024 11:15:00,18500,18510,4552,18498,18500
04/02/2024 11:15:30,04/02/2024 11:22:00,18510,18520,8789,18500,18500
04/02/2024 11:22:30,04/02/2024 11:37:00,18520,18530,17016,18508,18510
04/02/2024 11:37:30,04/02/2024 11:44:00,18530,18540,8755,18520,18520
04/02/2024 11:44:30,04/02/2024 11:50:00,18530,18520,6148,18524,18520
