Time_Start,Time_End,Renko_Open,Renko_Close,Volume,Moving_Average,Median
2/1/2024 0:00,2/1/2024 0:54,17820,17830,2539,0,0
2/1/2024 0:55,2/1/2024 1:27,17820,17810,1459,0,0
2/1/2024 1:28,2/1/2024 1:55,17810,17800,2298,0,0
2/1/2024 1:56,2/1/2024 1:57,17800,17790,516,0,0
2/1/2024 1:58,2/1/2024 2:33,17790,17780,4621,17802,17800
2/1/2024 2:34,2/1/2024 2:38,17790,17800,882,17796,17800
2/1/2024 2:39,2/1/2024 2:40,17800,17810,312,17796,17800
2/1/2024 2:41,2/1/2024 2:58,17810,17820,2659,17800,17800
2/1/2024 2:59,2/1/2024 3:17,17820,17830,4278,17808,17810
2/1/2024 3:18,2/1/2024 3:21,17830,17840,1065,17820,17820
2/1/2024 3:22,2/1/2024 3:29,17840,17850,1952,17830,17830
2/1/2024 3:30,2/1/2024 3:36,17850,17860,1727,17840,17840
2/1/2024 3:37,2/1/2024 3:51,17850,17840,3453,17844,17840
2/1/2024 3:52,2/1/2024 4:05,17850,17860,2306,17850,17850
2/1/2024 4:06,2/1/2024 5:45,17850,17840,11080,17850,17850
2/1/2024 5:46,2/1/2024 6:53,17850,17860,8625,17852,17860
2/1/2024 6:54,2/1/2024 7:08,17850,17840,2610,17848,17840
2/1/2024 7:09,2/1/2024 7:44,17850,17860,5922,17852,17860
2/1/2024 7:45,2/1/2024 8:03,17860,17870,4030,17854,17860
2/1/2024 8:04,2/1/2024 8:09,17860,17850,1505,17856,17860
2/1/2024 8:10,2/1/2024 8:14,17850,17840,1447,17852,17850
2/1/2024 8:15,2/1/2024 8:16,17840,17830,1494,17850,17850
2/1/2024 8:17,2/1/2024 8:30,17830,17820,5529,17842,17840
2/1/2024 8:31,2/1/2024 8:38,17840,17850,5705,17838,17840
2/1/2024 8:39,2/1/2024 9:04,17850,17860,9538,17840,17840
2/1/2024 9:05,2/1/2024 9:23,17850,17840,6981,17840,17840
2/1/2024 9:24,2/1/2024 9:28,17840,17830,2829,17840,17840
2/1/2024 9:29,2/1/2024 9:34,17830,17820,18770,17840,17840
2/1/2024 9:35,2/1/2024 9:55,17830,17840,44295,17838,17840
2/1/2024 9:56,2/1/2024 9:56,17830,17820,1508,17830,17830
2/1/2024 9:57,2/1/2024 9:59,17820,17810,5400,17824,17820
2/1/2024 10:00,2/1/2024 10:04,17810,17800,14197,17818,17820
2/1/2024 10:05,2/1/2024 10:07,17810,17820,7045,17818,17820
2/1/2024 10:08,2/1/2024 10:08,17820,17830,2455,17816,17820
2/1/2024 10:09,2/1/2024 10:09,17840,17850,2622,17822,17820
2/1/2024 10:10,2/1/2024 10:21,17850,17860,20845,17832,17830
2/1/2024 10:22,2/1/2024 10:26,17840,17830,8588,17838,17830
2/1/2024 10:27,2/1/2024 10:28,17850,17860,3079,17846,17850
2/1/2024 10:29,2/1/2024 10:49,17860,17870,27494,17854,17860
2/1/2024 10:50,2/1/2024 10:50,17860,17850,1686,17854,17860
2/1/2024 10:51,2/1/2024 10:52,17840,17830,4944,17848,17850
2/1/2024 10:53,2/1/2024 10:53,17830,17820,2016,17846,17850
2/1/2024 10:54,2/1/2024 10:56,17820,17810,7617,17836,17830
2/1/2024 10:57,2/1/2024 10:59,17810,17800,4930,17822,17820
2/1/2024 11:00,2/1/2024 11:33,17800,17790,45937,17810,17810
2/1/2024 11:34,2/1/2024 11:34,17800,17810,2642,17806,17810
