Time_Start,Time_End,Renko_Open,Renko_Close,Volume,Moving_Average,Median
03/01/2024 01:17:00,03/01/2024 02:04:00,18640,18650,3858,0,0
03/01/2024 02:04:30,03/01/2024 02:34:00,18650,18660,3407,0,0
03/01/2024 02:34:30,03/01/2024 03:14:30,18660,18670,4578,0,0
03/01/2024 03:15:00,03/01/2024 03:33:30,18660,18650,2748,0,0
03/01/2024 03:34:00,03/01/2024 03:48:30,18650,18640,2504,18654,18650
03/01/2024 03:49:00,03/01/2024 04:23:00,18640,18630,5999,18650,18650
03/01/2024 04:23:30,03/01/2024 05:03:00,18640,18650,5611,18648,18650
03/01/2024 05:03:30,03/01/2024 05:12:30,18640,18630,1633,18640,18640
03/01/2024 05:13:00,03/01/2024 05:13:30,18630,18620,646,18634,18630
03/01/2024 05:14:00,03/01/2024 05:14:30,18620,18610,970,18628,18630
03/01/2024 05:15:00,03/01/2024 05:15:30,18610,18600,305,18622,18620
03/01/2024 05:16:00,03/01/2024 05:16:30,18600,18590,869,18610,18610
03/01/2024 05:17:00,03/01/2024 05:19:00,18590,18580,1294,18600,18600
03/01/2024 05:19:30,03/01/2024 05:21:00,18580,18570,1272,18590,18590
03/01/2024 05:21:30,03/01/2024 05:24:30,18570,18560,1983,18580,18580
03/01/2024 05:25:00,03/01/2024 05:35:00,18560,18550,4813,18570,18570
03/01/2024 05:35:30,03/01/2024 05:38:00,18560,18570,1492,18566,18570
03/01/2024 05:38:30,03/01/2024 06:18:00,18570,18580,7439,18566,18570
03/01/2024 06:18:30,03/01/2024 06:46:30,18580,18590,4242,18570,18570
03/01/2024 06:47:00,03/01/2024 07:51:30,18590,18600,8722,18578,18580
03/01/2024 07:52:00,03/01/2024 08:37:00,18600,18610,11447,18590,18590
03/01/2024 08:37:30,03/01/2024 09:30:00,18600,18590,14946,18594,18590
03/01/2024 09:30:30,03/01/2024 09:31:30,18610,18620,8070,18602,18600
03/01/2024 09:32:00,03/01/2024 09:37:00,18630,18640,17062,18612,18610
03/01/2024 09:37:30,03/01/2024 09:42:30,18630,18620,15236,18616,18620
03/01/2024 09:43:00,03/01/2024 09:43:00,18630,18640,1071,18622,18620
03/01/2024 09:43:30,03/01/2024 09:47:30,18640,18650,7841,18634,18640
03/01/2024 09:48:00,03/01/2024 09:48:00,18640,18630,1549,18636,18640
03/01/2024 09:48:30,03/01/2024 09:58:30,18630,18620,16510,18632,18630
03/01/2024 09:59:00,03/01/2024 09:59:30,18630,18640,985,18636,18640
03/01/2024 10:00:00,03/01/2024 10:01:30,18640,18650,9935,18638,18640
03/01/2024 10:02:00,03/01/2024 10:04:00,18650,18660,9393,18640,18640
03/01/2024 10:04:30,03/01/2024 10:05:30,18650,18640,5217,18642,18640
03/01/2024 10:06:00,03/01/2024 10:07:30,18650,18660,5012,18650,18650
03/01/2024 10:08:00,03/01/2024 10:08:00,18660,18670,1179,18656,18660
03/01/2024 10:08:30,03/01/2024 10:10:00,18670,18680,4801,18662,18660
03/01/2024 10:10:30,03/01/2024 10:15:30,18680,18690,10571,18668,18670
03/01/2024 10:16:00,03/01/2024 10:23:30,18690,18700,13086,18680,18680
03/01/2024 10:24:00,03/01/2024 10:31:00,18690,18680,11385,18684,18680
03/01/2024 10:31:30,03/01/2024 10:45:30,18680,18670,20304,18684,18680
03/01/2024 10:46:00,03/01/2024 10:54:00,18680,18690,10152,18686,18690
03/01/2024 10:54:30,03/01/2024 10:56:00,18690,18700,3390,18688,18690
03/01/2024 10:56:30,03/01/2024 11:04:00,18700,18710,12475,18690,18690
03/01/2024 11:04:30,03/01/2024 11:06:00,18710,18720,3612,18698,18700
03/01/2024 11:06:30,03/01/2024 11:08:00,18720,18730,3187,18710,18710
03/01/2024 11:08:30,03/01/2024 11:20:30,18730,18740,15264,18720,18720
03/01/2024 11:21:00,03/01/2024 11:32:00,18740,18750,10739,18730,18730
03/01/2024 11:32:30,03/01/2024 11:49:30,18740,18730,18974,18734,18730
03/01/2024 11:50:00,03/01/2024 12:14:00,18740,18750,20590,18740,18740
03/01/2024 12:14:30,03/01/2024 12:20:30,18750,18760,6410,18746,18750
03/01/2024 12:21:00,03/01/2024 12:26:30,18760,18770,5003,18752,18750
03/01/2024 12:27:00,03/01/2024 12:50:00,18770,18780,21684,18758,18760
03/01/2024 12:50:30,03/01/2024 13:04:00,18780,18790,13364,18770,18770
03/01/2024 13:04:30,03/01/2024 13:07:30,18790,18800,3429,18780,18780
03/01/2024 13:08:00,03/01/2024 13:23:00,18800,18810,13013,18790,18790
03/01/2024 13:23:30,03/01/2024 13:30:00,18810,18820,6158,18800,18800
03/01/2024 13:30:30,03/01/2024 13:39:30,18820,18830,7535,18810,18810
03/01/2024 13:40:00,03/01/2024 13:41:30,18830,18840,3209,18820,18820
03/01/2024 13:42:00,03/01/2024 14:00:30,18840,18850,16044,18830,18830
03/01/2024 14:01:00,03/01/2024 14:15:30,18850,18860,15868,18840,18840
03/01/2024 14:16:00,03/01/2024 14:30:00,18860,18870,14989,18850,18850
03/01/2024 14:30:30,03/01/2024 14:35:00,18870,18880,6455,18860,18860
03/01/2024 14:35:30,03/01/2024 14:40:00,18870,18860,5540,18864,18860
03/01/2024 14:40:30,03/01/2024 14:50:00,18860,18850,11501,18864,18860
03/01/2024 14:50:30,03/01/2024 15:07:30,18860,18870,15843,18866,18870
03/01/2024 15:08:00,03/01/2024 15:12:00,18860,18850,6792,18862,18860
03/01/2024 15:12:30,03/01/2024 16:05:00,18850,18840,66014,18854,18850
03/01/2024 16:05:30,03/01/2024 17:00:00,18840,18830,9576,18848,18850
03/03/2024 18:00:30,03/03/2024 18:09:30,18850,18860,2529,18850,18850
03/03/2024 18:10:00,03/03/2024 18:39:00,18860,18870,4105,18850,18850
03/03/2024 18:39:30,03/03/2024 19:01:00,18860,18850,2099,18850,18850
03/03/2024 19:01:30,03/03/2024 20:57:30,18850,18840,7713,18850,18850
03/03/2024 20:58:00,03/03/2024 21:46:30,18850,18860,3011,18856,18860
03/03/2024 21:47:00,03/04/2024 03:10:00,18860,18870,14567,18858,18860
03/04/2024 03:10:30,03/04/2024 04:21:30,18870,18880,9261,18860,18860
03/04/2024 04:22:00,03/04/2024 04:34:00,18870,18860,1879,18862,18860
03/04/2024 04:34:30,03/04/2024 05:00:00,18860,18850,3774,18864,18860
03/04/2024 05:00:30,03/04/2024 06:07:00,18850,18840,9066,18860,18860
03/04/2024 06:07:30,03/04/2024 07:03:00,18840,18830,9673,18852,18850
03/04/2024 07:03:30,03/04/2024 07:44:00,18840,18850,5536,18846,18850
03/04/2024 07:44:30,03/04/2024 08:02:30,18850,18860,3427,18846,18850
03/04/2024 08:03:00,03/04/2024 08:19:00,18850,18840,3216,18844,18840
03/04/2024 08:19:30,03/04/2024 09:01:00,18850,18860,8796,18848,18850
03/04/2024 09:01:30,03/04/2024 09:27:30,18850,18840,6842,18850,18850
03/04/2024 09:28:00,03/04/2024 09:32:00,18840,18830,14445,18846,18840
03/04/2024 09:32:30,03/04/2024 09:33:30,18830,18820,7263,18838,18840
03/04/2024 09:34:00,03/04/2024 09:35:00,18810,18800,5275,18830,18830
03/04/2024 09:35:30,03/04/2024 09:39:30,18810,18820,13040,18822,18820
03/04/2024 09:40:00,03/04/2024 09:49:30,18820,18830,23592,18820,18820
03/04/2024 09:50:00,03/04/2024 10:00:00,18820,18810,18616,18816,18820
03/04/2024 10:00:30,03/04/2024 10:35:30,18810,18800,50743,18812,18810
03/04/2024 10:36:00,03/04/2024 10:37:00,18810,18820,3323,18816,18820
03/04/2024 10:37:30,03/04/2024 10:47:30,18820,18830,12961,18818,18820
03/04/2024 10:48:00,03/04/2024 11:06:00,18830,18840,18723,18820,18820
03/04/2024 11:06:30,03/04/2024 11:31:00,18830,18820,26219,18822,18820
03/04/2024 11:31:30,03/04/2024 11:34:00,18820,18810,3719,18824,18820
03/04/2024 11:34:30,03/04/2024 11:52:00,18810,18800,18068,18820,18820
03/04/2024 11:52:30,03/04/2024 12:21:00,18810,18820,22752,18818,18820
03/04/2024 12:21:30,03/04/2024 12:44:30,18820,18830,16809,18816,18820
03/04/2024 12:45:00,03/04/2024 13:20:30,18820,18810,22393,18814,18810
03/04/2024 13:21:00,03/04/2024 13:24:00,18810,18800,3231,18812,18810
03/04/2024 13:24:30,03/04/2024 13:44:30,18800,18790,15792,18810,18810
03/04/2024 13:45:00,03/04/2024 14:19:30,18800,18810,19823,18808,18810
03/04/2024 14:20:00,03/04/2024 14:36:00,18810,18820,10588,18806,18810
03/04/2024 14:36:30,03/04/2024 14:37:30,18820,18830,5179,18810,18810
03/04/2024 14:38:00,03/04/2024 14:39:30,18830,18840,2728,18818,18820
03/04/2024 14:40:00,03/04/2024 15:32:30,18840,18850,57144,18830,18830
03/04/2024 15:33:00,03/04/2024 15:34:30,18840,18830,2527,18834,18830
03/04/2024 15:35:00,03/04/2024 15:35:00,18830,18820,1589,18834,18830
03/04/2024 15:35:30,03/04/2024 15:39:00,18810,18800,9263,18828,18830
03/04/2024 15:39:30,03/04/2024 15:45:00,18810,18820,6778,18824,18820
03/04/2024 15:45:30,03/04/2024 15:47:00,18810,18800,3735,18814,18820
03/04/2024 15:47:30,03/04/2024 15:48:00,18800,18790,3032,18806,18800
03/04/2024 15:48:30,03/04/2024 15:49:00,18790,18780,2201,18798,18800
03/04/2024 15:49:30,03/04/2024 16:01:30,18780,18770,31886,18792,18790
03/04/2024 16:02:00,03/04/2024 16:10:30,18770,18760,5378,18780,18780
03/04/2024 16:11:00,03/04/2024 18:10:30,18760,18750,7319,18770,18770
03/04/2024 18:11:00,03/04/2024 19:46:30,18750,18740,7710,18760,18760
03/04/2024 19:47:00,03/04/2024 20:21:30,18740,18730,3258,18750,18750
03/04/2024 20:22:00,03/04/2024 20:39:00,18730,18720,2293,18740,18740
03/04/2024 20:39:30,03/04/2024 21:52:00,18720,18710,6582,18730,18730
03/04/2024 21:52:30,03/04/2024 22:41:00,18710,18700,3360,18720,18720
03/04/2024 22:41:30,03/05/2024 00:50:30,18710,18720,6434,18716,18720
03/05/2024 00:51:00,03/05/2024 01:22:00,18710,18700,2729,18710,18710
03/05/2024 01:22:30,03/05/2024 01:31:30,18700,18690,1411,18704,18700
03/05/2024 01:32:00,03/05/2024 02:24:30,18690,18680,5654,18698,18700
03/05/2024 02:25:00,03/05/2024 03:00:00,18680,18670,3997,18692,18690
03/05/2024 03:00:30,03/05/2024 03:00:30,18680,18690,426,18686,18690
03/05/2024 03:01:00,03/05/2024 03:33:30,18690,18700,4357,18686,18690
03/05/2024 03:34:00,03/05/2024 03:40:30,18690,18680,1119,18684,18680
03/05/2024 03:41:00,03/05/2024 03:45:00,18680,18670,1431,18682,18680
03/05/2024 03:45:30,03/05/2024 03:58:30,18670,18660,2761,18680,18680
03/05/2024 03:59:00,03/05/2024 04:50:00,18660,18650,10483,18672,18670
03/05/2024 04:50:30,03/05/2024 05:04:30,18650,18640,2874,18660,18660
03/05/2024 05:05:00,03/05/2024 06:01:30,18640,18630,8590,18650,18650
03/05/2024 06:02:00,03/05/2024 06:21:00,18640,18650,2698,18646,18650
03/05/2024 06:21:30,03/05/2024 07:00:00,18650,18660,4847,18646,18650
03/05/2024 07:00:30,03/05/2024 07:07:00,18660,18670,1715,18650,18650
03/05/2024 07:07:30,03/05/2024 07:12:30,18670,18680,2066,18658,18660
03/05/2024 07:13:00,03/05/2024 07:33:30,18680,18690,4635,18670,18670
03/05/2024 07:34:00,03/05/2024 07:47:30,18680,18670,2944,18674,18670
03/05/2024 07:48:00,03/05/2024 08:06:00,18670,18660,4734,18674,18670
03/05/2024 08:06:30,03/05/2024 08:29:00,18670,18680,4955,18676,18680
03/05/2024 08:29:30,03/05/2024 08:42:00,18670,18660,4397,18672,18670
03/05/2024 08:42:30,03/05/2024 09:00:00,18660,18650,5737,18664,18660
03/05/2024 09:00:30,03/05/2024 09:30:00,18650,18640,13531,18658,18660
03/05/2024 09:30:30,03/05/2024 09:32:00,18640,18630,11351,18652,18650
03/05/2024 09:32:30,03/05/2024 09:32:30,18630,18620,3828,18640,18640
03/05/2024 09:33:00,03/05/2024 09:33:00,18620,18610,3310,18630,18630
03/05/2024 09:33:30,03/05/2024 09:34:00,18610,18600,6064,18620,18620
03/05/2024 09:34:30,03/05/2024 09:36:00,18600,18590,12703,18610,18610
03/05/2024 09:36:30,03/05/2024 09:43:00,18590,18580,22216,18600,18600
03/05/2024 09:43:30,03/05/2024 09:46:30,18580,18570,9758,18590,18590
03/05/2024 09:47:00,03/05/2024 09:48:00,18570,18560,4578,18580,18580
03/05/2024 09:48:30,03/05/2024 10:00:30,18560,18550,32644,18570,18570
03/05/2024 10:01:00,03/05/2024 10:03:30,18560,18570,13223,18566,18570
03/05/2024 10:04:00,03/05/2024 10:07:00,18570,18580,10923,18566,18570
03/05/2024 10:07:30,03/05/2024 10:07:30,18560,18550,2047,18562,18560
03/05/2024 10:08:00,03/05/2024 10:08:30,18550,18540,2433,18558,18550
03/05/2024 10:09:00,03/05/2024 10:09:00,18540,18530,2976,18554,18550
03/05/2024 10:09:30,03/05/2024 10:14:30,18530,18520,17037,18544,18540
03/05/2024 10:15:00,03/05/2024 10:18:00,18520,18510,7991,18530,18530
03/05/2024 10:18:30,03/05/2024 10:18:30,18510,18500,1671,18520,18520
03/05/2024 10:19:00,03/05/2024 10:20:30,18500,18490,7749,18510,18510
03/05/2024 10:21:00,03/05/2024 10:24:30,18490,18480,8614,18500,18500
03/05/2024 10:25:00,03/05/2024 10:30:30,18480,18470,14737,18490,18490
03/05/2024 10:31:00,03/05/2024 10:32:00,18470,18460,3532,18480,18480
03/05/2024 10:32:30,03/05/2024 10:42:00,18460,18450,21005,18470,18470
03/05/2024 10:42:30,03/05/2024 10:49:30,18450,18440,17851,18460,18460
