Time_Start,Time_End,Renko_Open,Renko_Close,Volume,Indicator_1
04/01/2024 00:46:30,04/01/2024 02:49:00,18840,18850,5274,18846.67
04/01/2024 02:49:30,04/01/2024 03:17:00,18840,18830,2073,18842.9
04/01/2024 03:17:30,04/01/2024 03:34:00,18840,18850,2091,18843.74
04/01/2024 03:34:30,04/01/2024 04:05:00,18850,18860,2571,18846.51
04/01/2024 04:05:30,04/01/2024 04:08:30,18850,18840,749,18846.32
04/01/2024 04:09:00,04/01/2024 04:10:00,18840,18830,438,18845.89
04/01/2024 04:10:30,04/01/2024 04:39:30,18830,18820,3362,18841.31
04/01/2024 04:40:00,04/01/2024 07:06:00,18830,18840,9015,18839.67
04/01/2024 07:06:30,04/01/2024 07:19:30,18830,18820,1646,18838.68
04/01/2024 07:20:00,04/01/2024 07:25:00,18820,18810,1579,18837.29
04/01/2024 07:25:30,04/01/2024 07:31:30,18810,18800,1652,18835.45
04/01/2024 07:32:00,04/01/2024 08:06:30,18800,18790,4367,18830.17
04/01/2024 08:07:00,04/01/2024 08:07:00,18790,18780,494,18829.51
04/01/2024 08:07:30,04/01/2024 08:20:30,18780,18770,5089,18822.44
04/01/2024 08:21:00,04/01/2024 08:50:00,18770,18760,7931,18812.74
04/01/2024 08:50:30,04/01/2024 09:13:00,18770,18780,4721,18809.53
04/01/2024 09:13:30,04/01/2024 09:15:30,18770,18760,1363,18808.37
04/01/2024 09:16:00,04/01/2024 09:16:30,18760,18750,1909,18806.51
04/01/2024 09:17:00,04/01/2024 09:29:00,18750,18740,6448,18800.02
04/01/2024 09:29:30,04/01/2024 09:32:30,18750,18760,10340,18793.89
04/01/2024 09:33:00,04/01/2024 09:33:00,18760,18770,2029,18793.15
04/01/2024 09:33:30,04/01/2024 09:34:30,18780,18790,6654,18792.62
04/01/2024 09:35:00,04/01/2024 09:35:00,18800,18810,2262,18793.0
04/01/2024 09:35:30,04/01/2024 09:36:00,18810,18820,5725,18794.51
04/01/2024 09:36:30,04/01/2024 09:38:00,18820,18830,7136,18796.88
04/01/2024 09:38:30,04/01/2024 09:39:00,18830,18840,3926,18798.43
04/01/2024 09:39:30,04/01/2024 09:40:00,18840,18850,3055,18799.85
04/01/2024 09:40:30,04/01/2024 10:02:30,18850,18860,47901,18817.78
04/01/2024 10:03:00,04/01/2024 10:03:00,18850,18840,1613,18818.04
04/01/2024 10:03:30,04/01/2024 10:04:00,18840,18830,3907,18818.42
04/01/2024 10:04:30,04/01/2024 10:08:30,18830,18820,12104,18818.77
04/01/2024 10:09:00,04/01/2024 10:18:00,18830,18840,12906,18820.04
04/01/2024 10:18:30,04/01/2024 10:18:30,18830,18820,1545,18820.07
04/01/2024 10:19:00,04/01/2024 10:19:00,18810,18800,2612,18819.83
04/01/2024 10:19:30,04/01/2024 10:20:00,18800,18790,4839,18819.16
04/01/2024 10:20:30,04/01/2024 10:24:00,18790,18780,11715,18817.1
04/01/2024 10:24:30,04/01/2024 10:35:00,18790,18800,14515,18815.73
04/01/2024 10:35:30,04/01/2024 10:38:30,18790,18780,3936,18815.16
04/01/2024 10:39:00,04/01/2024 10:39:00,18780,18770,1649,18814.85
04/01/2024 10:39:30,04/01/2024 10:51:30,18760,18750,22621,18809.19
04/01/2024 10:52:00,04/01/2024 11:06:00,18750,18740,21736,18803.84
04/01/2024 11:06:30,04/01/2024 11:10:00,18740,18730,5032,18802.53
04/01/2024 11:10:30,04/01/2024 11:15:30,18730,18720,7782,18800.34
04/01/2024 11:16:00,04/01/2024 11:16:00,18720,18710,1286,18799.94
04/01/2024 11:16:30,04/01/2024 11:21:00,18710,18700,8212,18797.2
04/01/2024 11:21:30,04/01/2024 11:23:30,18700,18690,3454,18795.98
04/01/2024 11:24:00,04/01/2024 11:27:00,18700,18710,5355,18794.38
04/01/2024 11:27:30,04/01/2024 11:29:30,18710,18720,2690,18793.68
04/01/2024 11:30:00,04/01/2024 11:51:30,18720,18730,20932,18789.33
04/01/2024 11:52:00,04/01/2024 11:53:30,18720,18710,2471,18788.75
04/01/2024 11:54:00,04/01/2024 11:54:00,18710,18700,881,18788.52
04/01/2024 11:54:30,04/01/2024 12:00:00,18700,18690,8067,18786.22
04/01/2024 12:00:30,04/01/2024 12:04:00,18690,18680,6094,18784.37
04/01/2024 12:04:30,04/01/2024 12:04:30,18690,18700,570,18784.23
04/01/2024 12:05:00,04/01/2024 12:07:00,18700,18710,2906,18783.57
04/01/2024 12:07:30,04/01/2024 12:08:30,18710,18720,1487,18783.28
04/01/2024 12:09:00,04/01/2024 12:30:00,18720,18730,17011,18780.62
04/01/2024 12:30:30,04/01/2024 12:45:00,18730,18740,9114,18779.54
04/01/2024 12:45:30,04/01/2024 12:59:00,18740,18750,7966,18778.85
04/01/2024 12:59:30,04/01/2024 13:07:00,18740,18730,4997,18778.25
04/01/2024 13:07:30,04/01/2024 13:19:30,18730,18720,7439,18777.21
04/01/2024 13:20:00,04/01/2024 13:21:00,18720,18710,1833,18776.91
04/01/2024 13:21:30,04/01/2024 13:24:30,18710,18700,2575,18776.43
04/01/2024 13:25:00,04/01/2024 13:29:30,18700,18690,5038,18775.39
04/01/2024 13:30:00,04/01/2024 13:44:00,18700,18710,7174,18774.18
04/01/2024 13:44:30,04/01/2024 14:22:00,18710,18720,19125,18771.6
04/01/2024 14:22:30,04/01/2024 14:53:00,18720,18730,15125,18770.07
04/01/2024 14:53:30,04/01/2024 15:00:00,18730,18740,4200,18769.75
04/01/2024 15:00:30,04/01/2024 15:05:30,18730,18720,3924,18769.35
04/01/2024 15:06:00,04/01/2024 15:54:30,18730,18740,36211,18766.91
04/01/2024 15:55:00,04/01/2024 15:55:00,18740,18750,2538,18766.81
04/01/2024 15:55:30,04/01/2024 18:25:30,18750,18760,38855,18766.06
04/01/2024 18:26:00,04/01/2024 19:37:30,18750,18740,3159,18765.93
04/01/2024 19:38:00,04/01/2024 20:08:30,18740,18730,2560,18765.77
04/01/2024 20:09:00,04/01/2024 22:33:30,18730,18720,7223,18765.2
04/01/2024 22:34:00,04/02/2024 01:19:00,18730,18740,6037,18764.89
04/02/2024 01:19:30,04/02/2024 02:21:00,18730,18720,3571,18764.62
04/02/2024 02:21:30,04/02/2024 02:47:00,18730,18740,2478,18764.49
04/02/2024 02:47:30,04/02/2024 03:24:00,18740,18750,5747,18764.31
04/02/2024 03:24:30,04/02/2024 03:26:00,18740,18730,595,18764.28
04/02/2024 03:26:30,04/02/2024 03:27:30,18730,18720,748,18764.22
04/02/2024 03:28:00,04/02/2024 03:39:00,18720,18710,2429,18764.0
04/02/2024 03:39:30,04/02/2024 04:01:30,18720,18730,3957,18763.74
04/02/2024 04:02:00,04/02/2024 04:02:30,18730,18740,497,18763.72
04/02/2024 04:03:00,04/02/2024 04:03:00,18740,18750,266,18763.71
04/02/2024 04:03:30,04/02/2024 04:45:00,18750,18760,8849,18763.6
04/02/2024 04:45:30,04/02/2024 04:50:30,18750,18740,906,18763.57
04/02/2024 04:51:00,04/02/2024 05:59:30,18740,18730,8031,18763.16
