Time_Start,Time_End,Renko_Open,Renko_Close,Volume,Indicator_1
02/01/2024 00:00,02/01/2024 00:54,17820,17830,2539,17826.67
02/01/2024 00:55,02/01/2024 01:27,17820,17810,1459,17821.8
02/01/2024 01:28,02/01/2024 01:55,17810,17800,2298,17815.06
02/01/2024 01:56,02/01/2024 01:57,17800,17790,516,17813.41
02/01/2024 01:58,02/01/2024 02:33,17790,17780,4621,17801.26
02/01/2024 02:34,02/01/2024 02:38,17790,17800,882,17800.93
02/01/2024 02:39,02/01/2024 02:40,17800,17810,312,17801.07
02/01/2024 02:41,02/01/2024 02:58,17810,17820,2659,17803.78
02/01/2024 02:59,02/01/2024 03:17,17820,17830,4278,17808.79
02/01/2024 03:18,02/01/2024 03:21,17830,17840,1065,17810.23
02/01/2024 03:22,02/01/2024 03:29,17840,17850,1952,17813.38
02/01/2024 03:30,02/01/2024 03:36,17850,17860,1727,17816.45
02/01/2024 03:37,02/01/2024 03:51,17850,17840,3453,17819.8
02/01/2024 03:52,02/01/2024 04:05,17850,17860,2306,17822.62
02/01/2024 04:06,02/01/2024 05:45,17850,17840,11080,17828.2
02/01/2024 05:46,02/01/2024 06:53,17850,17860,8625,17833.13
02/01/2024 06:54,02/01/2024 07:08,17850,17840,2610,17833.64
02/01/2024 07:09,02/01/2024 07:44,17850,17860,5922,17835.98
02/01/2024 07:45,02/01/2024 08:03,17860,17870,4030,17837.96
02/01/2024 08:04,02/01/2024 08:09,17860,17850,1505,17838.33
02/01/2024 08:10,02/01/2024 08:14,17850,17840,1447,17838.44
02/01/2024 08:15,02/01/2024 08:16,17840,17830,1494,17838.32
02/01/2024 08:17,02/01/2024 08:30,17830,17820,5529,17837.18
02/01/2024 08:31,02/01/2024 08:38,17840,17850,5705,17837.87
02/01/2024 08:39,02/01/2024 09:04,17850,17860,9538,17839.92
02/01/2024 09:05,02/01/2024 09:23,17850,17840,6981,17840.17
02/01/2024 09:24,02/01/2024 09:28,17840,17830,2829,17839.97
02/01/2024 09:29,02/01/2024 09:34,17830,17820,18770,17837.28
02/01/2024 09:35,02/01/2024 09:55,17830,17840,44295,17837.11
02/01/2024 09:56,02/01/2024 09:56,17830,17820,1508,17836.98
02/01/2024 09:57,02/01/2024 09:59,17820,17810,5400,17836.22
02/01/2024 10:00,02/01/2024 10:04,17810,17800,14197,17833.65
02/01/2024 10:05,02/01/2024 10:07,17810,17820,7045,17833.01
02/01/2024 10:08,02/01/2024 10:08,17820,17830,2455,17832.93
02/01/2024 10:09,02/01/2024 10:09,17840,17850,2622,17833.12
02/01/2024 10:10,02/01/2024 10:21,17850,17860,20845,17835.41
02/01/2024 10:22,02/01/2024 10:26,17840,17830,8588,17835.33
02/01/2024 10:27,02/01/2024 10:28,17850,17860,3079,17835.62
02/01/2024 10:29,02/01/2024 10:49,17860,17870,27494,17838.98
02/01/2024 10:50,02/01/2024 10:50,17860,17850,1686,17839.08
02/01/2024 10:51,02/01/2024 10:52,17840,17830,4944,17838.97
02/01/2024 10:53,02/01/2024 10:53,17830,17820,2016,17838.85
02/01/2024 10:54,02/01/2024 10:56,17820,17810,7617,17838.13
02/01/2024 10:57,02/01/2024 10:59,17810,17800,4930,17837.5
02/01/2024 11:00,02/01/2024 11:33,17800,17790,45937,17831.18
02/01/2024 11:34,02/01/2024 11:34,17800,17810,2642,17830.98
02/01/2024 11:35,02/01/2024 11:39,17810,17820,5620,17830.73
02/01/2024 11:40,02/01/2024 12:00,17820,17830,20581,17830.5
02/01/2024 12:01,02/01/2024 12:03,17830,17840,3711,17830.56
02/01/2024 12:04,02/01/2024 12:04,17840,17850,1711,17830.64
02/01/2024 12:05,02/01/2024 12:05,17850,17860,2925,17830.85
02/01/2024 12:06,02/01/2024 12:06,17860,17870,1743,17831.02
02/01/2024 12:07,02/01/2024 12:09,17870,17880,6310,17831.81
02/01/2024 12:10,02/01/2024 12:22,17880,17890,17084,17834.26
02/01/2024 12:23,02/01/2024 12:28,17880,17870,4787,17834.74
02/01/2024 12:29,02/01/2024 12:48,17870,17860,20182,17836.15
02/01/2024 12:49,02/01/2024 12:49,17870,17880,1276,17836.28
02/01/2024 12:50,02/01/2024 12:51,17880,17890,3262,17836.68
02/01/2024 12:52,02/01/2024 12:54,17890,17900,4186,17837.28
02/01/2024 12:55,02/01/2024 12:55,17900,17910,1116,17837.47
02/01/2024 12:56,02/01/2024 12:57,17910,17920,3366,17838.1
02/01/2024 12:58,02/01/2024 12:58,17910,17900,2564,17838.49
02/01/2024 12:59,02/01/2024 13:01,17900,17890,4765,17839.1
02/01/2024 13:02,02/01/2024 13:03,17890,17880,2737,17839.38
02/01/2024 13:04,02/01/2024 13:04,17880,17870,1305,17839.49
02/01/2024 13:05,02/01/2024 13:06,17870,17860,3205,17839.66
02/01/2024 13:07,02/01/2024 13:12,17860,17850,8890,17839.93
02/01/2024 13:13,02/01/2024 13:13,17860,17870,665,17839.97
02/01/2024 13:14,02/01/2024 13:25,17870,17880,10479,17840.82
02/01/2024 13:26,02/01/2024 13:31,17880,17890,5049,17841.32
02/01/2024 13:32,02/01/2024 13:37,17890,17900,7599,17842.22
02/01/2024 13:38,02/01/2024 13:39,17880,17870,5286,17842.56
02/01/2024 13:40,02/01/2024 13:47,17870,17860,9142,17842.96
02/01/2024 13:48,02/01/2024 13:52,17870,17880,3961,17843.23
02/01/2024 13:53,02/01/2024 14:06,17880,17890,10161,17844.12
02/01/2024 14:07,02/01/2024 14:09,17890,17900,2481,17844.38
02/01/2024 14:10,02/01/2024 14:12,17900,17910,5359,17845.04
02/01/2024 14:13,02/01/2024 14:19,17900,17890,6171,17845.62
02/01/2024 14:20,02/01/2024 14:45,17900,17910,18490,17847.76
02/01/2024 14:46,02/01/2024 14:46,17910,17920,1949,17848.01
02/01/2024 14:47,02/01/2024 14:57,17920,17930,12642,17849.84
02/01/2024 14:58,02/01/2024 15:04,17930,17940,5742,17850.74
02/01/2024 15:05,02/01/2024 15:40,17940,17950,27611,17855.33
02/01/2024 15:41,02/01/2024 15:49,17950,17960,7915,17856.7
02/01/2024 15:50,02/01/2024 15:50,17950,17940,1026,17856.85
02/01/2024 15:51,02/01/2024 15:52,17940,17930,3359,17857.29
02/01/2024 15:53,02/01/2024 15:58,17930,17920,8905,17858.27
02/01/2024 15:59,02/01/2024 15:59,17930,17940,1624,17858.48
02/01/2024 16:00,02/01/2024 16:01,17940,17950,10486,17859.99
02/01/2024 16:02,02/01/2024 16:05,17960,17970,7172,17861.23
02/01/2024 16:06,02/01/2024 16:06,17990,18000,4341,17862.18
02/01/2024 16:07,02/01/2024 16:07,18000,18010,2197,17862.68
02/01/2024 16:08,02/01/2024 16:11,18020,18030,8159,17864.8
02/01/2024 16:12,02/01/2024 16:12,18030,18040,789,17865.01
02/01/2024 16:13,02/01/2024 16:15,18040,18050,4282,17866.23
02/01/2024 16:16,02/01/2024 16:16,18050,18060,1201,17866.59
02/01/2024 16:17,02/01/2024 16:28,18060,18070,7526,17868.92
02/01/2024 16:29,02/01/2024 16:29,18070,18080,288,17869.01
02/01/2024 16:30,02/01/2024 16:39,18080,18090,10704,17872.56
02/01/2024 16:40,02/01/2024 16:41,18090,18100,1332,17873.01
02/01/2024 16:42,02/01/2024 16:49,18100,18110,4178,17874.48
02/01/2024 16:50,02/01/2024 16:50,18120,18130,955,17874.84
02/01/2024 16:51,02/01/2024 17:00,18130,18140,4604,17876.65
02/01/2024 18:01,02/01/2024 18:06,18120,18110,2885,17877.66
02/01/2024 18:07,02/01/2024 20:09,18110,18100,11732,17881.54
02/01/2024 20:10,02/01/2024 20:34,18110,18120,2284,17882.32
02/01/2024 20:35,02/02/2024 01:15,18120,18130,14505,17887.39
02/02/2024 01:16,02/02/2024 03:01,18120,18110,8861,17890.21
02/02/2024 03:02,02/02/2024 03:38,18110,18100,5589,17891.88
02/02/2024 03:39,02/02/2024 03:51,18110,18120,1913,17892.48
02/02/2024 03:52,02/02/2024 04:03,18120,18130,2503,17893.29
02/02/2024 04:04,02/02/2024 04:38,18130,18140,6598,17895.51
