Time_Start,Time_End,Renko_Open,Renko_Close,Volume,Indicator_1
03/01/2024 01:17:00,03/01/2024 02:04:00,18640,18650,3858,18646.67
03/01/2024 02:04:30,03/01/2024 02:34:00,18650,18660,3407,18651.36
03/01/2024 02:34:30,03/01/2024 03:14:30,18660,18670,4578,18657.27
03/01/2024 03:15:00,03/01/2024 03:33:30,18660,18650,2748,18656.53
03/01/2024 03:34:00,03/01/2024 03:48:30,18650,18640,2504,18654.6
03/01/2024 03:49:00,03/01/2024 04:23:00,18640,18630,5999,18649.07
03/01/2024 04:23:30,03/01/2024 05:03:00,18640,18650,5611,18648.6
03/01/2024 05:03:30,03/01/2024 05:12:30,18640,18630,1633,18647.78
03/01/2024 05:13:00,03/01/2024 05:13:30,18630,18620,646,18647.27
03/01/2024 05:14:00,03/01/2024 05:14:30,18620,18610,970,18646.24
03/01/2024 05:15:00,03/01/2024 05:15:30,18610,18600,305,18645.84
03/01/2024 05:16:00,03/01/2024 05:16:30,18600,18590,869,18644.46
03/01/2024 05:17:00,03/01/2024 05:19:00,18590,18580,1294,18642.16
03/01/2024 05:19:30,03/01/2024 05:21:00,18580,18570,1272,18639.71
03/01/2024 05:21:30,03/01/2024 05:24:30,18570,18560,1983,18635.69
03/01/2024 05:25:00,03/01/2024 05:35:00,18560,18550,4813,18626.36
03/01/2024 05:35:30,03/01/2024 05:38:00,18560,18570,1492,18624.34
03/01/2024 05:38:30,03/01/2024 06:18:00,18570,18580,7439,18617.44
03/01/2024 06:18:30,03/01/2024 06:46:30,18580,18590,4242,18615.09
03/01/2024 06:47:00,03/01/2024 07:51:30,18590,18600,8722,18612.6
03/01/2024 07:52:00,03/01/2024 08:37:00,18600,18610,11447,18611.7
03/01/2024 08:37:30,03/01/2024 09:30:00,18600,18590,14946,18608.68
03/01/2024 09:30:30,03/01/2024 09:31:30,18610,18620,8070,18609.33
03/01/2024 09:32:00,03/01/2024 09:37:00,18630,18640,17062,18613.35
03/01/2024 09:37:30,03/01/2024 09:42:30,18630,18620,15236,18614.51
03/01/2024 09:43:00,03/01/2024 09:43:00,18630,18640,1071,18614.69
03/01/2024 09:43:30,03/01/2024 09:47:30,18640,18650,7841,18616.48
03/01/2024 09:48:00,03/01/2024 09:48:00,18640,18630,1549,18616.67
03/01/2024 09:48:30,03/01/2024 09:58:30,18630,18620,16510,18617.36
03/01/2024 09:59:00,03/01/2024 09:59:30,18630,18640,985,18617.48
03/01/2024 10:00:00,03/01/2024 10:01:30,18640,18650,9935,18619.2
03/01/2024 10:02:00,03/01/2024 10:04:00,18650,18660,9393,18621.17
03/01/2024 10:04:30,03/01/2024 10:05:30,18650,18640,5217,18621.8
03/01/2024 10:06:00,03/01/2024 10:07:30,18650,18660,5012,18622.73
03/01/2024 10:08:00,03/01/2024 10:08:00,18660,18670,1179,18623.0
03/01/2024 10:08:30,03/01/2024 10:10:00,18670,18680,4801,18624.32
03/01/2024 10:10:30,03/01/2024 10:15:30,18680,18690,10571,18627.53
03/01/2024 10:16:00,03/01/2024 10:23:30,18690,18700,13086,18631.68
03/01/2024 10:24:00,03/01/2024 10:31:00,18690,18680,11385,18634.24
03/01/2024 10:31:30,03/01/2024 10:45:30,18680,18670,20304,18637.41
03/01/2024 10:46:00,03/01/2024 10:54:00,18680,18690,10152,18639.34
03/01/2024 10:54:30,03/01/2024 10:56:00,18690,18700,3390,18640.07
03/01/2024 10:56:30,03/01/2024 11:04:00,18700,18710,12475,18643.08
03/01/2024 11:04:30,03/01/2024 11:06:00,18710,18720,3612,18644.03
03/01/2024 11:06:30,03/01/2024 11:08:00,18720,18730,3187,18644.97
03/01/2024 11:08:30,03/01/2024 11:20:30,18730,18740,15264,18649.66
03/01/2024 11:21:00,03/01/2024 11:32:00,18740,18750,10739,18653.04
03/01/2024 11:32:30,03/01/2024 11:49:30,18740,18730,18974,18657.68
03/01/2024 11:50:00,03/01/2024 12:14:00,18740,18750,20590,18662.94
03/01/2024 12:14:30,03/01/2024 12:20:30,18750,18760,6410,18664.64
03/01/2024 12:21:00,03/01/2024 12:26:30,18760,18770,5003,18666.05
03/01/2024 12:27:00,03/01/2024 12:50:00,18770,18780,21684,18672.34
03/01/2024 12:50:30,03/01/2024 13:04:00,18780,18790,13364,18676.21
03/01/2024 13:04:30,03/01/2024 13:07:30,18790,18800,3429,18677.25
03/01/2024 13:08:00,03/01/2024 13:23:00,18800,18810,13013,18681.34
03/01/2024 13:23:30,03/01/2024 13:30:00,18810,18820,6158,18683.34
03/01/2024 13:30:30,03/01/2024 13:39:30,18820,18830,7535,18685.88
03/01/2024 13:40:00,03/01/2024 13:41:30,18830,18840,3209,18687.01
