Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total,Moving Average,Median,Linear Regression
8/4/2024 18:00:05,8/4/2024 18:00:05,18325,18320,388,0,0,380
8/4/2024 18:00:15,8/4/2024 18:00:15,18325,18360,428,0,0,415
8/4/2024 18:00:20,8/4/2024 18:00:20,18355,18350,172,0,0,390
8/4/2024 18:00:25,8/4/2024 18:00:30,18355,18360,160,0,0,399
8/4/2024 18:00:35,8/4/2024 18:00:35,18355,18345,136,18347,18350,386
8/4/2024 18:00:40,8/4/2024 18:00:45,18350,18355,156,18354,18355,397
8/4/2024 18:00:50,8/4/2024 18:00:50,18355,18360,78,18354,18355,399
8/4/2024 18:00:55,8/4/2024 18:00:55,18355,18350,80,18354,18355,390
8/4/2024 18:01:00,8/4/2024 18:01:25,18350,18340,382,18350,18350,384
8/4/2024 18:01:30,8/4/2024 18:01:40,18340,18335,136,18348,18350,385
8/4/2024 18:01:45,8/4/2024 18:01:45,18335,18305,294,18338,18340,361
8/4/2024 18:01:50,8/4/2024 18:01:55,18305,18295,401,18325,18335,368
8/4/2024 18:02:00,8/4/2024 18:02:00,18300,18305,152,18316,18305,380
8/4/2024 18:02:05,8/4/2024 18:02:05,18305,18310,44,18310,18305,382
8/4/2024 18:02:10,8/4/2024 18:02:15,18310,18320,135,18307,18305,388
8/4/2024 18:02:20,8/4/2024 18:02:20,18315,18295,133,18305,18305,363
8/4/2024 18:02:25,8/4/2024 18:02:30,18295,18280,265,18302,18305,361
8/4/2024 18:02:35,8/4/2024 18:02:35,18285,18290,72,18299,18295,375
8/4/2024 18:02:40,8/4/2024 18:02:45,18290,18295,145,18296,18295,377
8/4/2024 18:02:50,8/4/2024 18:02:55,18295,18305,67,18293,18295,383
8/4/2024 18:03:00,8/4/2024 18:03:30,18300,18295,310,18293,18295,371
8/4/2024 18:03:35,8/4/2024 18:03:45,18300,18305,165,18298,18295,380
8/4/2024 18:03:50,8/4/2024 18:04:10,18300,18295,186,18299,18295,371
8/4/2024 18:04:15,8/4/2024 18:04:15,18295,18290,7,18298,18295,369
8/4/2024 18:04:20,8/4/2024 18:04:25,18290,18280,165,18293,18295,363
8/4/2024 18:04:30,8/4/2024 18:04:30,18285,18290,91,18292,18290,375
8/4/2024 18:04:35,8/4/2024 18:04:35,18290,18295,96,18290,18290,377
8/4/2024 18:04:40,8/4/2024 18:04:50,18295,18300,93,18291,18290,378
8/4/2024 18:04:55,8/4/2024 18:05:05,18300,18305,155,18294,18295,380
8/4/2024 18:05:10,8/4/2024 18:05:15,18305,18315,66,18301,18300,386
8/4/2024 18:05:20,8/4/2024 18:05:40,18315,18320,217,18307,18305,385
8/4/2024 18:05:45,8/4/2024 18:06:00,18315,18310,82,18310,18310,376
8/4/2024 18:06:05,8/4/2024 18:06:45,18310,18285,475,18307,18310,357
8/4/2024 18:06:50,8/4/2024 18:07:05,18290,18295,76,18305,18310,377
8/4/2024 18:07:10,8/4/2024 18:07:55,18295,18305,482,18303,18305,383
8/4/2024 18:08:00,8/4/2024 18:08:10,18300,18295,79,18298,18295,371
8/4/2024 18:08:15,8/4/2024 18:08:15,18300,18305,139,18297,18295,380
8/4/2024 18:08:20,8/4/2024 18:08:20,18305,18310,23,18302,18305,382
8/4/2024 18:08:25,8/4/2024 18:08:35,18310,18315,57,18306,18305,383
8/4/2024 18:08:40,8/4/2024 18:09:05,18310,18305,116,18306,18305,375
8/4/2024 18:09:10,8/4/2024 18:11:00,18305,18300,392,18307,18305,373
8/4/2024 18:11:05,8/4/2024 18:11:20,18305,18310,243,18308,18310,382
8/4/2024 18:11:25,8/4/2024 18:11:30,18310,18315,49,18309,18310,383
8/4/2024 18:11:35,8/4/2024 18:14:10,18315,18320,598,18310,18310,385
8/4/2024 18:14:20,8/4/2024 18:15:00,18315,18310,121,18311,18310,376
8/4/2024 18:15:05,8/4/2024 18:18:30,18315,18320,363,18315,18315,385
8/4/2024 18:18:35,8/4/2024 18:19:20,18320,18325,270,18318,18320,387
8/4/2024 18:19:25,8/4/2024 18:20:15,18320,18310,157,18317,18320,374
8/4/2024 18:20:20,8/4/2024 18:20:20,18315,18320,147,18317,18320,385
8/4/2024 18:20:25,8/4/2024 18:20:25,18320,18325,15,18320,18320,387
8/4/2024 18:20:30,8/4/2024 18:21:05,18325,18330,139,18322,18325,389
8/4/2024 18:21:10,8/4/2024 18:25:00,18330,18335,490,18324,18325,390
8/4/2024 18:25:05,8/4/2024 18:25:10,18330,18325,110,18327,18325,381
8/4/2024 18:25:15,8/4/2024 18:26:00,18325,18315,240,18326,18325,375
8/4/2024 18:26:05,8/4/2024 18:26:10,18320,18330,52,18327,18330,391
8/4/2024 18:26:15,8/4/2024 18:28:00,18330,18335,385,18328,18330,390
8/4/2024 18:28:05,8/4/2024 18:29:10,18335,18340,140,18329,18330,392
8/4/2024 18:29:15,8/4/2024 18:29:20,18340,18345,20,18333,18335,394
8/4/2024 18:29:25,8/4/2024 18:30:15,18345,18350,289,18340,18340,395
8/4/2024 18:30:20,8/4/2024 18:30:20,18350,18355,70,18345,18345,397
8/4/2024 18:30:25,8/4/2024 18:31:10,18355,18360,234,18350,18350,399
8/4/2024 18:31:15,8/4/2024 18:32:35,18360,18365,223,18355,18355,400
8/4/2024 18:32:40,8/4/2024 18:33:05,18365,18370,117,18360,18360,402
8/4/2024 18:33:10,8/4/2024 18:34:50,18370,18375,296,18365,18365,404
8/4/2024 18:34:55,8/4/2024 18:35:45,18370,18365,272,18367,18365,395
8/4/2024 18:35:50,8/4/2024 18:37:40,18365,18360,232,18367,18365,393
8/4/2024 18:37:45,8/4/2024 18:37:50,18365,18370,16,18368,18370,402
8/4/2024 18:37:55,8/4/2024 18:38:40,18365,18360,138,18366,18365,393
8/4/2024 18:38:45,8/4/2024 18:38:45,18360,18355,7,18362,18360,392
8/4/2024 18:38:50,8/4/2024 18:39:05,18355,18350,39,18359,18360,390
8/4/2024 18:39:10,8/4/2024 18:41:10,18350,18345,256,18356,18355,388
8/4/2024 18:41:15,8/4/2024 18:41:50,18350,18360,98,18354,18355,401
8/4/2024 18:41:55,8/4/2024 18:43:50,18360,18365,121,18355,18355,400
8/4/2024 18:43:55,8/4/2024 18:48:10,18365,18370,248,18358,18360,402
8/4/2024 18:48:15,8/4/2024 18:49:25,18370,18380,303,18364,18365,408
8/4/2024 18:49:30,8/4/2024 18:51:15,18380,18385,182,18372,18370,407
8/4/2024 18:51:20,8/4/2024 18:51:20,18380,18370,67,18374,18370,394
8/4/2024 18:51:25,8/4/2024 18:51:25,18370,18365,28,18374,18370,395
8/4/2024 18:51:30,8/4/2024 18:53:30,18365,18360,290,18372,18370,393
8/4/2024 18:53:35,8/4/2024 18:55:00,18365,18370,90,18370,18370,402
8/4/2024 18:55:05,8/4/2024 18:55:15,18365,18360,21,18365,18365,393
8/4/2024 18:55:20,8/4/2024 18:57:45,18360,18350,268,18361,18360,387
8/4/2024 18:57:50,8/4/2024 19:00:10,18350,18345,172,18357,18360,388
8/4/2024 19:00:15,8/4/2024 19:01:20,18350,18355,142,18356,18355,397
