Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total,Moving Average,Median,Linear Regression
8/4/2024 18:00:05,8/4/2024 18:00:05,18325,18320,388,0,0,380
8/4/2024 18:00:15,8/4/2024 18:00:15,18325,18360,428,0,0,415
8/4/2024 18:00:20,8/4/2024 18:00:20,18355,18350,172,0,0,390
8/4/2024 18:00:25,8/4/2024 18:00:30,18355,18360,160,0,0,399
8/4/2024 18:00:35,8/4/2024 18:00:35,18355,18345,136,18347,18350,386
8/4/2024 18:00:40,8/4/2024 18:00:45,18350,18355,156,18354,18355,397
8/4/2024 18:00:50,8/4/2024 18:00:50,18355,18360,78,18354,18355,399
8/4/2024 18:00:55,8/4/2024 18:00:55,18355,18350,80,18354,18355,390
8/4/2024 18:01:00,8/4/2024 18:01:25,18350,18340,382,18350,18350,384
8/4/2024 18:01:30,8/4/2024 18:01:40,18340,18335,136,18348,18350,385
8/4/2024 18:01:45,8/4/2024 18:01:45,18335,18305,294,18338,18340,361
8/4/2024 18:01:50,8/4/2024 18:01:55,18305,18295,401,18325,18335,368
8/4/2024 18:02:00,8/4/2024 18:02:00,18300,18305,152,18316,18305,380
8/4/2024 18:02:05,8/4/2024 18:02:05,18305,18310,44,18310,18305,382
8/4/2024 18:02:10,8/4/2024 18:02:15,18310,18320,135,18307,18305,388
8/4/2024 18:02:20,8/4/2024 18:02:20,18315,18295,133,18305,18305,363
8/4/2024 18:02:25,8/4/2024 18:02:30,18295,18280,265,18302,18305,361
8/4/2024 18:02:35,8/4/2024 18:02:35,18285,18290,72,18299,18295,375
8/4/2024 18:02:40,8/4/2024 18:02:45,18290,18295,145,18296,18295,377
8/4/2024 18:02:50,8/4/2024 18:02:55,18295,18305,67,18293,18295,383
8/5/2024 20:47:05,8/5/2024 20:47:05,18285,18290,31,18280,18280,375
8/5/2024 20:47:10,8/5/2024 20:47:40,18290,18295,135,18285,18285,377
8/5/2024 20:47:45,8/5/2024 20:48:05,18295,18300,284,18290,18290,378
8/5/2024 20:48:10,8/5/2024 20:48:10,18300,18305,41,18295,18295,380
8/5/2024 20:48:15,8/5/2024 20:48:15,18305,18325,323,18303,18300,395
8/5/2024 20:48:20,8/5/2024 20:48:55,18325,18330,240,18311,18305,389
8/5/2024 20:49:00,8/5/2024 20:56:05,18325,18320,1111,18316,18320,380
8/5/2024 20:56:10,8/5/2024 20:56:40,18325,18330,126,18322,18325,389
8/5/2024 20:56:45,8/5/2024 21:00:35,18330,18335,543,18328,18330,390
8/5/2024 21:00:40,8/5/2024 21:01:10,18330,18325,139,18328,18330,381
8/5/2024 21:01:15,8/5/2024 21:01:45,18330,18335,91,18329,18330,390
8/5/2024 21:01:50,8/5/2024 21:03:00,18335,18345,485,18334,18335,396
8/5/2024 21:03:05,8/5/2024 21:08:55,18345,18350,822,18338,18335,395
8/5/2024 21:09:00,8/5/2024 21:09:50,18350,18365,296,18344,18345,406
8/5/2024 21:09:55,8/5/2024 21:10:20,18365,18370,139,18353,18350,402
8/5/2024 21:10:25,8/5/2024 21:10:35,18370,18375,68,18361,18365,404
8/5/2024 21:10:40,8/5/2024 21:11:15,18375,18385,336,18369,18370,410
8/5/2024 21:11:20,8/5/2024 21:11:50,18380,18375,142,18374,18375,398
8/5/2024 21:11:55,8/5/2024 21:12:40,18375,18370,217,18375,18375,397
8/5/2024 21:12:45,8/5/2024 21:12:45,18375,18380,20,18377,18375,406
8/5/2024 21:12:50,8/5/2024 21:12:50,18380,18385,28,18379,18380,407
8/5/2024 21:12:55,8/5/2024 21:13:05,18385,18390,132,18380,18380,409
8/6/2024 10:56:10,8/6/2024 10:56:20,18295,18290,362,18297,18295,369
8/6/2024 10:56:25,8/6/2024 10:56:35,18295,18300,371,18297,18295,378
8/6/2024 10:56:40,8/6/2024 10:56:50,18300,18305,194,18299,18300,380
8/6/2024 10:56:55,8/6/2024 10:57:15,18300,18295,540,18297,18295,371
8/6/2024 10:57:20,8/6/2024 10:57:20,18295,18290,235,18296,18295,369
8/6/2024 10:57:25,8/6/2024 10:57:55,18290,18285,839,18295,18295,368
8/6/2024 10:58:00,8/6/2024 10:58:55,18290,18295,1213,18294,18295,377
8/7/2024 0:57:10,8/7/2024 1:01:35,18400,18395,280,18401,18400,405
8/7/2024 1:01:40,8/7/2024 1:13:10,18395,18390,481,18400,18400,404
8/7/2024 1:13:15,8/7/2024 1:14:10,18390,18385,169,18396,18395,402
8/7/2024 1:14:15,8/7/2024 1:14:35,18385,18380,122,18390,18390,400
8/7/2024 1:14:40,8/7/2024 1:14:55,18380,18375,75,18385,18385,398
8/7/2024 1:15:00,8/7/2024 1:16:10,18375,18370,257,18380,18380,397
8/7/2024 1:16:15,8/7/2024 1:17:50,18370,18365,160,18375,18375,395
8/8/2024 3:42:40,8/8/2024 3:42:55,17910,17905,64,17915,17915,238
8/8/2024 3:43:00,8/8/2024 3:43:30,17905,17900,185,17910,17910,236
8/8/2024 3:43:35,8/8/2024 3:43:40,17900,17895,20,17905,17905,235
8/8/2024 3:43:45,8/8/2024 3:44:15,17900,17905,88,17903,17905,243
8/8/2024 3:44:20,8/8/2024 3:44:25,17900,17895,26,17900,17900,235
8/8/2024 3:44:30,8/8/2024 3:44:30,17895,17885,132,17896,17895,228
8/8/2024 3:44:35,8/8/2024 3:45:45,17885,17880,216,17892,17895,229
8/8/2024 3:45:50,8/8/2024 3:45:55,17885,17890,52,17891,17890,238
8/8/2024 3:46:00,8/8/2024 3:46:00,17890,17895,26,17889,17890,240
8/8/2024 3:46:05,8/8/2024 3:47:00,17895,17900,103,17890,17890,242
8/8/2024 3:47:05,8/8/2024 3:47:15,17900,17905,28,17894,17895,243
8/8/2024 3:47:20,8/8/2024 3:47:25,17900,17895,13,17897,17895,235
8/8/2024 3:47:30,8/8/2024 3:48:00,17900,17905,92,17900,17900,243
8/8/2024 3:48:05,8/8/2024 3:48:15,17905,17910,40,17903,17905,245
8/8/2024 3:48:20,8/8/2024 3:48:45,17910,17915,42,17906,17905,247
8/8/2024 3:48:50,8/8/2024 3:50:25,17915,17920,210,17909,17910,249
8/8/2024 3:50:35,8/8/2024 3:50:45,17915,17910,14,17912,17910,240
8/8/2024 3:50:50,8/8/2024 3:51:45,17915,17925,161,17916,17915,253
8/8/2024 3:51:50,8/8/2024 3:51:50,17920,17915,9,17917,17915,241
8/8/2024 3:51:55,8/8/2024 3:52:20,17915,17905,91,17915,17915,235
8/8/2024 3:52:25,8/8/2024 3:53:00,17905,17900,59,17911,17910,236
8/9/2024 4:11:45,8/9/2024 4:13:10,18575,18580,162,18576,18580,474
8/9/2024 4:13:15,8/9/2024 4:13:15,18580,18585,19,18577,18580,476
8/9/2024 4:13:20,8/9/2024 4:13:50,18585,18590,155,18581,18580,477
8/9/2024 4:13:55,8/9/2024 4:14:25,18585,18580,125,18581,18580,468
8/9/2024 4:14:30,8/9/2024 4:16:25,18580,18575,351,18582,18580,467
8/9/2024 4:16:30,8/9/2024 4:25:50,18575,18570,1256,18580,18580,465
8/9/2024 4:25:55,8/9/2024 4:26:05,18575,18580,30,18579,18580,474
