Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total
8/11/2024 18:00:05,8/11/2024 18:00:20,18595,18590,218
8/11/2024 18:00:25,8/11/2024 18:00:45,18595,18600,246
8/11/2024 18:00:25,8/11/2024 18:00:45,18600,18605,0
8/11/2024 18:00:50,8/11/2024 18:00:50,18605,18610,53
8/11/2024 18:00:55,8/11/2024 18:00:55,18610,18615,69
8/11/2024 18:00:55,8/11/2024 18:00:55,18615,18620,0
8/11/2024 18:01:00,8/11/2024 18:01:20,18620,18625,289
8/11/2024 18:01:00,8/11/2024 18:01:20,18625,18630,0
8/11/2024 18:01:25,8/11/2024 18:01:25,18630,18635,50
8/11/2024 18:01:30,8/11/2024 18:02:55,18635,18640,434
8/11/2024 18:03:00,8/11/2024 18:03:25,18635,18630,70
8/11/2024 18:03:30,8/11/2024 18:04:00,18630,18625,89
8/11/2024 18:04:05,8/11/2024 18:04:05,18630,18635,106
8/11/2024 18:04:10,8/11/2024 18:04:10,18635,18640,17
8/11/2024 18:04:15,8/11/2024 18:04:15,18640,18645,15
8/11/2024 18:04:20,8/11/2024 18:05:00,18645,18650,165
8/11/2024 18:05:05,8/11/2024 18:07:00,18650,18655,309
8/11/2024 18:07:05,8/11/2024 18:07:35,18650,18645,82
8/11/2024 18:07:40,8/11/2024 18:07:45,18645,18640,38
8/11/2024 18:07:50,8/11/2024 18:08:25,18640,18635,105
8/11/2024 18:08:30,8/11/2024 18:09:05,18635,18630,100
8/11/2024 18:09:10,8/11/2024 18:09:35,18635,18640,116
8/11/2024 18:09:40,8/11/2024 18:10:35,18640,18645,77
8/11/2024 18:10:40,8/11/2024 18:10:55,18640,18635,22
8/11/2024 18:11:00,8/11/2024 18:13:10,18635,18630,196
8/11/2024 18:13:15,8/11/2024 18:13:25,18630,18625,108
8/11/2024 18:13:15,8/11/2024 18:13:25,18625,18620,0
8/11/2024 18:13:30,8/11/2024 18:13:30,18620,18615,30
8/11/2024 18:13:35,8/11/2024 18:14:00,18615,18610,183
8/11/2024 18:14:05,8/11/2024 18:14:10,18610,18605,57
8/11/2024 18:14:15,8/11/2024 18:14:55,18605,18600,266
8/11/2024 18:14:15,8/11/2024 18:14:55,18600,18595,0
8/11/2024 18:14:15,8/11/2024 18:14:55,18595,18590,0
8/11/2024 18:15:00,8/11/2024 18:15:00,18590,18585,121
8/11/2024 18:15:00,8/11/2024 18:15:00,18585,18580,0
8/11/2024 18:15:00,8/11/2024 18:15:00,18580,18575,0
8/11/2024 18:15:00,8/11/2024 18:15:00,18575,18570,0
8/11/2024 18:15:00,8/11/2024 18:15:00,18570,18565,0
8/11/2024 18:15:00,8/11/2024 18:15:00,18565,18560,0
8/11/2024 18:15:00,8/11/2024 18:15:00,18560,18555,0
8/11/2024 18:15:05,8/11/2024 18:15:05,18555,18550,107
8/11/2024 18:15:05,8/11/2024 18:15:05,18550,18545,0
8/11/2024 18:15:05,8/11/2024 18:15:05,18545,18540,0
8/11/2024 18:15:05,8/11/2024 18:15:05,18540,18535,0
8/11/2024 18:15:05,8/11/2024 18:15:05,18535,18530,0
8/11/2024 18:15:10,8/11/2024 18:15:15,18530,18525,213
8/11/2024 18:15:20,8/11/2024 18:15:20,18530,18535,34
8/11/2024 18:15:25,8/11/2024 18:15:35,18535,18540,51
8/11/2024 18:15:25,8/11/2024 18:15:35,18540,18545,0
8/11/2024 18:15:25,8/11/2024 18:15:35,18545,18550,0
8/11/2024 18:15:40,8/11/2024 18:15:50,18550,18555,106
8/11/2024 18:15:55,8/11/2024 18:15:55,18555,18560,37
8/11/2024 18:16:00,8/11/2024 18:16:05,18560,18565,58
8/11/2024 18:16:10,8/11/2024 18:16:25,18560,18555,94
8/11/2024 18:16:30,8/11/2024 18:16:35,18555,18550,48
8/11/2024 18:16:40,8/11/2024 18:16:45,18550,18545,26
8/11/2024 18:16:50,8/11/2024 18:17:10,18545,18540,71
8/11/2024 18:17:15,8/11/2024 18:17:30,18545,18550,46
8/11/2024 18:17:35,8/11/2024 18:17:40,18545,18540,41
8/11/2024 18:17:35,8/11/2024 18:17:40,18540,18535,0
8/11/2024 18:17:45,8/11/2024 18:18:15,18535,18530,167
8/11/2024 18:18:20,8/11/2024 18:18:20,18535,18540,13
8/11/2024 18:18:25,8/11/2024 18:18:30,18540,18545,52
8/11/2024 18:18:35,8/11/2024 18:18:35,18545,18550,10
8/11/2024 18:18:40,8/11/2024 18:19:55,18550,18555,159
8/11/2024 18:20:00,8/11/2024 18:20:35,18555,18560,124
8/11/2024 18:20:40,8/11/2024 18:21:35,18555,18550,62
8/11/2024 18:21:40,8/11/2024 18:21:40,18550,18545,40
8/11/2024 18:21:45,8/11/2024 18:23:05,18545,18540,167
8/11/2024 18:23:10,8/11/2024 18:26:05,18545,18550,157
8/11/2024 18:26:10,8/11/2024 18:26:55,18545,18540,58
8/11/2024 18:27:00,8/11/2024 18:27:05,18545,18550,21
8/11/2024 18:27:10,8/11/2024 18:28:10,18550,18555,166
8/11/2024 18:28:15,8/11/2024 18:28:20,18550,18545,37
8/11/2024 18:28:15,8/11/2024 18:28:20,18545,18540,0
8/11/2024 18:28:25,8/11/2024 18:31:50,18545,18550,192
8/11/2024 18:28:25,8/11/2024 18:31:50,18550,18555,0
8/11/2024 18:28:25,8/11/2024 18:31:50,18555,18560,0
8/11/2024 18:32:00,8/11/2024 18:34:35,18555,18550,81
8/11/2024 18:34:40,8/11/2024 18:34:50,18555,18560,20
8/11/2024 18:34:55,8/11/2024 18:35:00,18560,18565,53
8/11/2024 18:35:05,8/11/2024 18:36:45,18565,18570,102
8/11/2024 18:36:50,8/11/2024 18:37:10,18570,18575,50
8/11/2024 18:37:15,8/11/2024 18:39:50,18575,18580,349
8/11/2024 18:39:55,8/11/2024 18:40:20,18575,18570,48
8/11/2024 18:40:25,8/11/2024 18:41:00,18570,18565,53
8/11/2024 18:41:05,8/11/2024 18:41:50,18570,18575,33
8/11/2024 18:42:05,8/11/2024 18:42:30,18575,18580,35
8/11/2024 18:42:35,8/11/2024 18:46:10,18580,18585,171
8/11/2024 18:46:15,8/11/2024 18:46:40,18580,18575,26
8/11/2024 18:46:45,8/11/2024 18:48:55,18575,18570,70
8/11/2024 18:49:20,8/11/2024 18:50:25,18575,18580,32
8/11/2024 18:50:40,8/11/2024 18:51:20,18575,18570,52
8/11/2024 18:51:25,8/11/2024 18:52:40,18570,18565,58
8/11/2024 18:52:45,8/11/2024 18:53:05,18570,18575,207
8/11/2024 18:52:45,8/11/2024 18:53:05,18575,18580,0
8/11/2024 18:52:45,8/11/2024 18:53:05,18580,18585,0
8/11/2024 18:53:10,8/11/2024 18:53:10,18585,18590,18
8/11/2024 18:53:15,8/11/2024 18:54:00,18590,18595,136
8/11/2024 18:54:05,8/11/2024 18:55:00,18595,18600,122
8/11/2024 18:55:05,8/11/2024 18:55:40,18600,18605,61
8/11/2024 18:55:45,8/11/2024 18:58:35,18600,18595,160
