Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total,Moving Average,Median,Linear Regression
8/11/2024 18:00:05,8/11/2024 18:00:20,18595,18590,218,0,0,425
8/11/2024 18:00:25,8/11/2024 18:00:45,18595,18600,246,0,0,559
8/11/2024 18:00:25,8/11/2024 18:00:45,18600,18605,0,0,0,561
8/11/2024 18:00:50,8/11/2024 18:00:50,18605,18610,53,0,0,564
8/11/2024 18:00:55,8/11/2024 18:00:55,18610,18615,69,18604,18605,566
8/11/2024 18:00:55,8/11/2024 18:00:55,18615,18620,0,18610,18610,569
8/11/2024 18:01:00,8/11/2024 18:01:20,18620,18625,289,18615,18615,572
8/11/2024 18:01:00,8/11/2024 18:01:20,18625,18630,0,18620,18620,574
8/11/2024 18:01:25,8/11/2024 18:01:25,18630,18635,50,18625,18625,577
8/11/2024 18:01:30,8/11/2024 18:02:55,18635,18640,434,18630,18630,580
8/11/2024 18:03:00,8/11/2024 18:03:25,18635,18630,70,18632,18630,446
8/11/2024 18:03:30,8/11/2024 18:04:00,18630,18625,89,18632,18630,444
8/11/2024 18:04:05,8/11/2024 18:04:05,18630,18635,106,18633,18635,577
8/11/2024 18:04:10,8/11/2024 18:04:10,18635,18640,17,18634,18635,580
8/11/2024 18:04:15,8/11/2024 18:04:15,18640,18645,15,18635,18635,582
8/11/2024 18:04:20,8/11/2024 18:05:00,18645,18650,165,18639,18640,585
8/11/2024 18:05:05,8/11/2024 18:07:00,18650,18655,309,18645,18645,588
8/11/2024 18:07:05,8/11/2024 18:07:35,18650,18645,82,18647,18645,454
8/11/2024 18:07:40,8/11/2024 18:07:45,18645,18640,38,18647,18645,452
8/11/2024 18:07:50,8/11/2024 18:08:25,18640,18635,105,18645,18645,449
8/11/2024 18:08:30,8/11/2024 18:09:05,18635,18630,100,18641,18640,446
8/11/2024 18:09:10,8/11/2024 18:09:35,18635,18640,116,18638,18640,580
8/11/2024 18:09:40,8/11/2024 18:10:35,18640,18645,77,18638,18640,582
8/11/2024 18:10:40,8/11/2024 18:10:55,18640,18635,22,18637,18635,449
8/11/2024 18:11:00,8/11/2024 18:13:10,18635,18630,196,18636,18635,446
8/11/2024 18:13:15,8/11/2024 18:13:25,18630,18625,108,18635,18635,444
