StartDateTime,EndDateTime,StartPrice,EndPrice,TotalUpVolume,TotalDownVolume,TotalVolume,Color
08/13/2024 00:00:20,08/13/2024 00:10:25,18670,18680,319,171,490,G
08/13/2024 00:10:25,08/13/2024 00:35:45,18680,18685,344,317,661,G
08/13/2024 00:35:45,08/13/2024 00:38:55,18685,18690,210,186,396,G
08/13/2024 00:38:55,08/13/2024 00:43:10,18690,18695,183,140,323,G
08/13/2024 00:43:10,08/13/2024 01:15:35,18695,18700,930,779,1709,G
08/13/2024 01:15:35,08/13/2024 01:16:00,18700,18705,39,24,63,G
08/13/2024 01:16:00,08/13/2024 01:26:30,18705,18710,320,275,595,G
08/13/2024 01:26:30,08/13/2024 01:37:40,18710,18700,335,395,730,R
08/13/2024 01:37:40,08/13/2024 02:02:30,18700,18695,863,843,1706,R
08/13/2024 02:02:30,08/13/2024 02:03:45,18695,18690,48,88,136,R
08/13/2024 02:03:45,08/13/2024 02:07:30,18690,18700,132,111,243,G
08/13/2024 02:07:30,08/13/2024 02:09:50,18700,18705,92,68,160,G
08/13/2024 02:09:50,08/13/2024 02:20:50,18705,18710,434,310,744,G
08/13/2024 02:20:50,08/13/2024 02:27:05,18710,18700,160,163,323,R
08/13/2024 02:27:05,08/13/2024 02:32:35,18700,18695,103,118,221,R
08/13/2024 02:32:35,08/13/2024 02:38:05,18695,18705,76,49,125,G
08/13/2024 02:38:05,08/13/2024 02:40:00,18705,18710,36,11,47,G
08/13/2024 02:40:00,08/13/2024 02:41:15,18710,18715,100,43,143,G
08/13/2024 02:41:15,08/13/2024 02:41:45,18715,18720,80,46,126,G
08/13/2024 02:41:45,08/13/2024 02:47:15,18720,18725,343,297,640,G
08/13/2024 02:47:15,08/13/2024 02:47:45,18725,18730,95,56,151,G
08/13/2024 02:47:45,08/13/2024 02:58:45,18730,18735,525,391,916,G
08/13/2024 02:58:45,08/13/2024 02:58:45,18735,18740,0,0,0,G
08/13/2024 02:58:45,08/13/2024 03:00:30,18740,18745,257,254,511,G
08/13/2024 03:00:30,08/13/2024 03:02:25,18745,18750,272,213,485,G
08/13/2024 03:02:25,08/13/2024 03:02:45,18750,18755,85,67,152,G
08/13/2024 03:02:45,08/13/2024 03:05:35,18755,18760,318,310,628,G
08/13/2024 03:05:35,08/13/2024 03:06:40,18760,18765,306,211,517,G
08/13/2024 03:06:40,08/13/2024 03:06:40,18765,18770,0,0,0,G
08/13/2024 03:06:40,08/13/2024 03:07:20,18770,18775,121,118,239,G
08/13/2024 03:07:20,08/13/2024 03:08:40,18775,18780,286,238,524,G
08/13/2024 03:08:40,08/13/2024 03:09:45,18780,18785,186,213,399,G
08/13/2024 03:09:45,08/13/2024 03:14:45,18785,18790,676,571,1247,G
08/13/2024 03:14:45,08/13/2024 03:18:05,18790,18795,498,362,860,G
08/13/2024 03:18:05,08/13/2024 03:21:45,18795,18800,807,590,1397,G
08/13/2024 03:21:45,08/13/2024 03:21:45,18800,18805,0,0,0,G
08/13/2024 03:21:45,08/13/2024 03:22:10,18805,18810,95,93,188,G
08/13/2024 03:22:10,08/13/2024 03:22:55,18810,18815,131,183,314,G
08/13/2024 03:22:55,08/13/2024 03:24:25,18815,18805,193,204,397,R
08/13/2024 03:24:25,08/13/2024 03:25:10,18805,18800,50,84,134,R
08/13/2024 03:25:10,08/13/2024 03:25:20,18800,18795,36,60,96,R
08/13/2024 03:25:20,08/13/2024 03:26:10,18795,18790,108,163,271,R
08/13/2024 03:26:10,08/13/2024 03:27:00,18790,18785,93,101,194,R
08/13/2024 03:27:00,08/13/2024 03:32:35,18785,18780,421,587,1008,R
08/13/2024 03:32:35,08/13/2024 03:34:55,18780,18775,166,191,357,R
08/13/2024 03:34:55,08/13/2024 03:43:35,18775,18770,489,608,1097,R
08/13/2024 03:43:35,08/13/2024 03:44:15,18770,18780,46,11,57,G
08/13/2024 03:44:15,08/13/2024 03:56:55,18780,18785,591,507,1098,G
08/13/2024 03:56:55,08/13/2024 03:59:10,18785,18775,95,135,230,R
08/13/2024 03:59:10,08/13/2024 04:00:25,18775,18770,138,233,371,R
08/13/2024 04:00:25,08/13/2024 04:03:35,18770,18765,290,386,676,R
08/13/2024 04:03:35,08/13/2024 04:03:35,18765,18760,0,0,0,R
08/13/2024 04:03:35,08/13/2024 04:06:00,18760,18770,277,230,507,G
08/13/2024 04:06:00,08/13/2024 04:08:55,18770,18775,152,155,307,G
08/13/2024 04:08:55,08/13/2024 04:13:30,18775,18765,196,219,415,R
08/13/2024 04:13:30,08/13/2024 04:14:20,18765,18760,36,58,94,R
08/13/2024 04:14:20,08/13/2024 04:18:35,18760,18755,216,251,467,R
08/13/2024 04:18:35,08/13/2024 04:18:55,18755,18750,30,119,149,R
08/13/2024 04:18:55,08/13/2024 04:20:10,18750,18745,93,134,227,R
08/13/2024 04:20:10,08/13/2024 04:21:05,18745,18740,146,172,318,R
08/13/2024 04:21:05,08/13/2024 04:27:20,18740,18750,396,423,819,G
08/13/2024 04:27:20,08/13/2024 04:28:40,18750,18755,96,54,150,G
08/13/2024 04:28:40,08/13/2024 04:34:35,18755,18745,293,294,587,R
08/13/2024 04:34:35,08/13/2024 04:35:30,18745,18740,128,296,424,R
08/13/2024 04:35:30,08/13/2024 05:07:35,18740,18735,1259,1373,2632,R
08/13/2024 05:07:35,08/13/2024 05:08:10,18735,18730,47,88,135,R
08/13/2024 05:08:10,08/13/2024 05:10:55,18730,18740,142,102,244,G
08/13/2024 05:10:55,08/13/2024 05:27:10,18740,18745,539,530,1069,G
08/13/2024 05:27:10,08/13/2024 05:30:15,18745,18750,134,130,264,G
08/13/2024 05:30:15,08/13/2024 05:30:55,18750,18755,67,44,111,G
08/13/2024 05:30:55,08/13/2024 05:40:40,18755,18760,347,327,674,G
08/13/2024 05:40:40,08/13/2024 05:43:35,18760,18750,252,330,582,R
08/13/2024 05:43:35,08/13/2024 05:58:30,18750,18745,563,574,1137,R
08/13/2024 05:58:30,08/13/2024 06:00:15,18745,18740,171,250,421,R
08/13/2024 06:00:15,08/13/2024 06:01:05,18740,18735,153,165,318,R
08/13/2024 06:01:05,08/13/2024 06:01:10,18735,18730,54,105,159,R
08/13/2024 06:01:10,08/13/2024 06:06:20,18730,18740,495,464,959,G
08/13/2024 06:06:20,08/13/2024 06:08:25,18740,18730,84,111,195,R
08/13/2024 06:08:25,08/13/2024 06:08:25,18730,18725,0,0,0,R
